SC_type,AB_compound,Def_site,Impuirty_atom,0/-1 NN,0/-1 Error,0/-1 DFT,-2/-3 NN,-2/-3 Error,-2/-3 DFT,-1/-2 NN,-1/-2 Error,-1/-2 DFT,+3/+2 NN,+3/+2 Error,+3/+2 DFT,+2/+1 NN,+2/+1 Error,+2/+1 DFT,+1/0 NN,+1/0 Error,+1/0 DFT
II-VI,CdTe,M_i_A,Br,0.4797209732234478,0.0779148563020695,0.2083269999999998,2.3459989547729494,0.0440658201557689,2.3638750000000024,1.6751609116792678,0.05899879756815405,1.900764,-0.5995179429650307,0.03925535065703631,-0.6625610000000001,-0.3187041401863098,0.04363888749803847,-0.3602559999999998,0.0636048985645175,0.05678270062465895,-0.09019500000000005
II-VI,CdTe,M_i_A,C,1.018859513103962,0.09411878213303469,0.503099,2.0668809562921524,0.060045541859304226,1.9253399999999998,1.5048036247491836,0.0797832397450774,1.6167379999999993,-0.4372588414698839,0.11095528264889844,-0.6679670000000006,0.06296651794546052,0.09006399135491906,-0.2885639999999997,0.592238549888134,0.10237782444247455,0.09924499999999992
II-VI,CdTe,M_i_A,Ca,1.937307420372963,0.04192508454755643,1.925843999999999,2.6599504232406614,0.050196766951135806,2.530587999999999,2.2702122807502745,0.04154760948763171,2.238567000000002,-0.5833506554365158,0.02436189238995227,-0.5902080000000003,0.9960487589240075,0.06499328990896791,1.0888220000000002,1.5171524465084076,0.037234014033256886,1.5263709999999988
II-VI,CdTe,M_i_A,Cd,1.7434656769037247,0.031199657890007157,1.7407219999999999,2.5177215158939363,0.03295573683053704,2.446494999999999,2.131356507539749,0.031877885789294194,2.1037900000000023,-0.6079582810401917,0.03383716078801811,-0.6235989999999998,0.5537275545299053,0.04916424175958809,0.4295500000000002,1.1128080561757088,0.05205467293940431,0.8660629999999999
II-VI,CdTe,M_i_A,Cl,0.36418723315000534,0.08394855707078673,0.14550799999999983,2.3461217820644378,0.05342933853417902,2.3454210000000013,1.7030288249254226,0.07166846298218116,1.8817110000000004,-0.6904907137155533,0.03159335343336511,-0.7474670000000002,-0.41264579221606257,0.046557212027288915,-0.44413800000000003,-0.061815828643739225,0.054063288961484705,-0.16762199999999977
II-VI,CdTe,M_i_A,Co,1.578419217467308,0.04910692824372024,1.6237440000000007,2.4599749028682707,0.0375676384085699,2.3881949999999996,2.0629885733127593,0.03841057879678253,2.0178409999999998,-0.6596200257539749,0.025395468884030235,-0.6867069999999994,-0.18544749952852727,0.04814282778521838,-0.33020300000000036,0.7809272304177284,0.061636298371532096,1.1645129999999997
II-VI,CdTe,M_i_A,Cr,1.729098728299141,0.03629893307674597,1.7407949999999996,2.5317793667316435,0.033385666423129484,2.584344000000001,2.1442605197429656,0.035350511349326666,2.113596999999999,-0.5279782310128212,0.05246882560788536,-0.6095480000000001,0.07435720638532076,0.07293821217196766,-0.029301999999999967,1.1895307570695877,0.049079641354401925,1.2736639999999988
II-VI,CdTe,M_i_A,Cs,1.836241641640663,0.049596002822239346,1.865369999999999,2.6867815971374513,0.05641338891052032,2.6753949999999986,2.3130612432956696,0.053275722340234526,2.283196,-0.5901266604661941,0.03658199719867216,-0.5612560000000001,-0.29034779518842696,0.04558927142622896,-0.24835600000000002,1.3403487980365754,0.06315272520892432,1.4426679999999992
II-VI,CdTe,M_i_A,Cu,1.641223391890526,0.03241786732176716,1.4462230000000014,2.4790658175945284,0.0383578118766924,2.3647550000000015,2.115611571073532,0.03777995381755682,2.051042,-0.717122183740139,0.03290687313916192,-0.7389580000000001,-0.32481319904327394,0.044995303109767126,-0.41489600000000015,1.146323174238205,0.056391232016252416,1.0686450000000007
II-VI,CdTe,M_i_A,F,0.14156498827505856,0.07703497504707942,0.05481800000000003,2.231819784641266,0.09716610512530474,2.2565210000000016,1.5219168543815613,0.09739178463911442,1.7968990000000011,-0.7612252563238144,0.04608668124750488,-0.8242660000000006,-0.4831310287117958,0.0499766608831311,-0.537222,-0.2081844733096659,0.06843251709519714,-0.2627439999999998
II-VI,CdTe,M_i_A,Fe,1.668917265534401,0.03100002874599106,1.6081739999999989,2.4570158183574677,0.03789983503338739,2.3568259999999985,2.0711496621370316,0.03600739441809386,1.9878349999999998,-0.5697350636124611,0.040565025588398876,-0.6032620000000005,0.24359803760889917,0.08797673840852394,0.12192799999999995,1.0476540341973304,0.0645663896848339,1.0910310000000008
II-VI,CdTe,M_i_A,Ga,1.790597841143608,0.03818086047968486,1.759161,2.5495570302009583,0.04545857826091098,2.513789000000002,2.1859495460987093,0.041196120355328145,2.1162269999999994,-0.40418104343116285,0.09588583082694085,-0.6983129999999996,0.07377352372277528,0.07604437740167214,-0.37646299999999977,1.3189048707485198,0.050953464557608234,1.3622299999999987
II-VI,CdTe,M_i_A,Ge,1.6957100093364716,0.04018807961082571,1.550801999999999,2.4110973834991456,0.03656516707800619,2.296173,2.034309983253479,0.039169207202648756,1.904826,-0.5354576349258423,0.056799132288994345,-0.6602260000000004,0.6191188551485538,0.072733290405708,0.9325720000000002,1.1995860427618026,0.03777762507350652,1.341234999999999
II-VI,CdTe,M_i_A,Hf,1.859739887714386,0.026501220980360087,1.7809949999999994,2.498809939622879,0.0275957499384628,2.555121,2.2011409223079683,0.026245604586000282,2.1479290000000004,0.544120866060257,0.06459136688848696,0.5057790000000003,1.0226450815796853,0.041049030294570694,0.9305109999999999,1.471708846092224,0.030963819350270063,1.3742099999999995
II-VI,CdTe,M_i_A,Hg,1.5233813673257828,0.04016085587591831,1.6862050000000006,2.440909057855606,0.03109633883283872,2.441412,2.00399569272995,0.03658249695424802,2.086099,-0.6107387185096741,0.032835967666173825,-0.6210869999999995,0.21427483353763818,0.063440853367097,-0.12420999999999997,0.8163917452096939,0.06281090645769645,0.3116629999999999
II-VI,CdTe,M_i_A,I,0.806246417760849,0.07672406700299776,0.4972099999999994,2.3838247537612913,0.05559976175009367,2.4096519999999986,1.7819435447454453,0.08310618723523105,1.947957000000001,-0.5639596685767174,0.05035168275462015,-0.5643759999999997,-0.20588890053331851,0.05748123851111999,-0.18402299999999988,0.32747731506824496,0.07669240316497444,0.165076
II-VI,CdTe,M_i_A,In,1.8293906658887864,0.0346781182536738,1.809202999999998,2.5967321693897247,0.03921344269686169,2.5652939999999984,2.2288717329502106,0.0375907937924928,2.1591459999999985,-0.40555186867713927,0.06592972823545128,-0.6107830000000003,0.13392025041830494,0.07011044621094947,-0.23063400000000017,1.3640864372253418,0.053290235243084176,1.4065530000000008
II-VI,CdTe,M_i_A,Ir,1.3045015811920166,0.05526366199334773,1.3625389999999986,2.255629140138626,0.036308165394753865,2.143062,1.7546210318803788,0.046926739300033694,1.8197770000000006,-0.34929659217596054,0.05637326921501443,-0.15577299999999997,0.04871799031388946,0.0654563395641359,-0.041877000000000004,0.6754737243056297,0.07240733381301453,0.8406060000000004
II-VI,CdTe,M_i_A,K,1.8109668374061585,0.04201857791032195,1.8382960000000002,2.6616650223731995,0.04162314627063091,2.643355999999998,2.2809630632400513,0.038443941895305984,2.2055840000000013,-0.6269834026694298,0.02907228866316527,-0.6389920000000006,-0.3237863384187222,0.03149463936993869,-0.3257849999999999,1.346216082572937,0.052727599634341905,1.3783269999999992
II-VI,CdTe,M_i_A,La,1.926696202158928,0.03266925179186773,1.9527080000000008,2.575658792257309,0.04012691113772628,2.5842159999999987,2.2772595286369324,0.03364360496485644,2.2614789999999987,0.6580855995416641,0.06251865922299586,0.7113119999999996,1.0966461241245269,0.03535385117319831,1.1478200000000007,1.5514821648597716,0.034075798999746484,1.5970920000000017
II-VI,CdTe,M_i_A,Li,1.7303614735603332,0.06194040638687856,1.753596000000001,2.559215372800827,0.07795865279284972,2.5952649999999986,2.1888527035713197,0.058001377617944945,2.1288789999999986,-0.7059294611215592,0.05325473692577582,-0.7237159999999997,-0.4416983604431152,0.05254063970114878,-0.4094999999999997,1.3354601442813874,0.06638926760818357,1.287837000000001
II-VI,CdTe,M_i_A,Mg,1.8759912580251694,0.04198627652038267,1.8458680000000005,2.596580457687378,0.036117857334448486,2.5032089999999987,2.2024873316287996,0.035728567244543534,2.2029589999999986,-0.6563776135444641,0.033138808110027826,-0.6441039999999997,0.9867761746048928,0.05528377778574328,0.9251819999999997,1.4253881245851516,0.032092973500063515,1.3752300000000004
II-VI,CdTe,M_i_A,Mn,1.8268699884414672,0.050790474276735505,1.745055,2.6358319342136385,0.07605913010463884,2.469819999999999,2.205276572704315,0.055456711244261284,2.1074330000000003,-0.7217299818992615,0.04028641224853157,-0.6515659999999998,0.6825811870396137,0.09004963006780346,0.7874449999999991,1.2909079998731614,0.06828340594410122,1.343015999999999
II-VI,CdTe,M_i_A,Mo,1.606486624479294,0.04685293986949016,1.3349380000000006,2.322470963001251,0.03854495441426279,2.4304860000000015,1.9528842568397522,0.045942323993544906,2.0893650000000004,-0.038006343026063406,0.06338900987583272,0.1527479999999999,0.508237924426794,0.057441440386005245,0.46655299999999994,1.187722709774971,0.05498200137680007,1.7007630000000002
II-VI,CdTe,M_i_A,N,0.8727483011782169,0.1275759034933883,0.7571060000000002,1.9938184857368468,0.08170979493221796,1.358707000000001,1.4065157920122147,0.0844115383349694,0.9942050000000003,-0.24673102649394424,0.18373442484934807,-0.7451359999999996,-0.07952835172764025,0.13001798422070976,-0.4716889999999999,0.3216040981002152,0.1381294166946179,-0.15263900000000002
II-VI,CdTe,M_i_A,Na,1.778684824705124,0.03915833966563167,1.7878910000000006,2.624083638191223,0.036879016488278966,2.6361040000000022,2.247374016046524,0.03551698614779968,2.1688639999999997,-0.6566555589437485,0.030857172781598552,-0.6901350000000005,-0.3442656397819519,0.036274290387181926,-0.3770830000000003,1.3269296914339066,0.039706951238433257,1.3206649999999986
II-VI,CdTe,M_i_A,Nb,1.7799499064683915,0.03585211300882464,1.7684959999999994,2.4388569355010987,0.04013574948081637,2.341123,2.1101335883140564,0.03185536013430939,2.2047280000000016,0.055580556980567054,0.09632922520005723,-0.35905100000000034,0.8185694441199303,0.04645010051367692,0.9695250000000002,1.375611025094986,0.03966478529952479,1.448943
II-VI,CdTe,M_i_A,Ni,1.5019482731819154,0.048553085158863175,1.4995199999999986,2.409987396001816,0.03423511721673973,2.3290039999999985,2.005199533700943,0.03968504780624661,1.9091439999999988,-0.6750856414437294,0.023352029581870812,-0.631207,-0.2114181626588106,0.045514698282878616,-0.20614199999999988,0.7320539310574532,0.06285276370067638,0.6763860000000006
II-VI,CdTe,M_i_A,O,0.30647806357592344,0.07408340376537498,0.06267700000000005,1.9626654803752899,0.07447934923665885,2.066691000000001,1.2103554487228394,0.07969979703997251,0.3347130000000002,-0.732914137840271,0.039348395103393136,-0.7740989999999998,-0.46438437029719354,0.05086357930677625,-0.4991030000000002,-0.14747244622558356,0.07196910626666055,-0.23047299999999998
II-VI,CdTe,M_i_A,Os,1.401589372754097,0.05426345277414959,1.435513,2.279876118898392,0.037524818808050385,2.353151999999999,1.8115786254405974,0.048532051883833506,1.9081959999999991,-0.3007586900144815,0.05407300496718394,-0.5271329999999995,0.24635489284992218,0.04938807945405844,0.5942819999999999,0.84078698605299,0.06170882034715322,0.718629
II-VI,CdTe,M_i_A,P,1.223882582783699,0.058991468502309755,1.1117089999999996,2.148453414440155,0.04049560293712199,1.7952090000000003,1.6289118945598602,0.0458008766659859,1.421602,-0.2529792088083923,0.08285252664352961,0.04774100000000003,0.2035412536934018,0.06355076641868451,0.07030899999999997,0.7454163298010826,0.0550295210413671,0.33806399999999975
II-VI,CdTe,M_i_A,Pb,1.8537450104951858,0.039695426366401464,1.853018,2.534240061044693,0.03847127281185713,2.4694290000000008,2.181438076496124,0.03861476617385345,2.1824500000000016,-0.4907815493643284,0.03839536379424205,-0.552423,0.7889459177851676,0.07327733378585918,1.0746600000000008,1.3821325182914734,0.05309839491468426,1.487589999999999
II-VI,CdTe,M_i_A,Pd,1.2996868938207626,0.06543347284480125,1.5109959999999991,2.3918203473091126,0.03784584143064334,2.3764319999999985,1.914991706609726,0.05603894283609,1.969990999999999,-0.6889580667018891,0.02347802844556141,-0.6916510000000001,-0.29427167400717735,0.04255727175169391,-0.37229699999999977,0.28154310658574105,0.07245667846694857,0.0507149999999999
II-VI,CdTe,M_i_A,Pt,1.195318078994751,0.0744326050377184,1.3380840000000005,2.3245614230632783,0.04111890967175328,2.336821,1.814228716492653,0.056125370021021616,1.7679189999999998,-0.6204297170042992,0.037487653280463135,-0.6179500000000003,-0.2604411907494068,0.041315180377997585,-0.2642410000000001,0.3861560821533203,0.07387162350126175,0.18836199999999992
II-VI,CdTe,M_i_A,Rb,1.825810480117798,0.03954246709635315,1.854743999999998,2.6868390917778013,0.05167498229702055,2.659653000000002,2.3006307065486906,0.048148384701326874,2.236656999999999,-0.6022080346941948,0.03558311060754524,-0.6059219999999997,-0.30635088458657267,0.04518997164541232,-0.29836099999999993,1.357785776257515,0.034775302560893256,1.4076269999999995
II-VI,CdTe,M_i_A,Re,1.5710446238517761,0.04369400120721547,1.6619829999999998,2.326276695728302,0.03323079365442021,2.377885000000002,1.921412107348442,0.038564870185647956,1.836478,-0.056958814882091244,0.09332559907118455,0.07489500000000011,0.5294844314455986,0.08263145480887138,0.29133599999999993,1.0809515163302421,0.07695192186213563,1.175365999999999
II-VI,CdTe,M_i_A,Rh,1.348895427584648,0.07061028697771074,1.3374400000000006,2.320943409204483,0.042260458239626715,2.2472750000000015,1.8662097483873368,0.056030895515479434,1.852676000000001,-0.5556728288531303,0.03981438064576329,-0.5020659999999996,-0.20257914625108242,0.042100618814518494,-0.35208599999999995,0.6996017843484879,0.06873827835915473,0.7113219999999993
II-VI,CdTe,M_i_A,Ru,1.3466816544532776,0.06396020997286998,1.5355959999999986,2.290403109788895,0.03917401774963151,2.356772000000002,1.8128898113965988,0.05016785867423377,1.990803,-0.45804527774453163,0.04927497505204024,-0.6064350000000003,0.020527324166323524,0.04849257058891049,-0.1529509999999999,0.7533072784543038,0.07665082158602662,0.453823
II-VI,CdTe,M_i_A,S,0.7208214282989502,0.07145767732183472,0.45668599999999976,2.0426280051469803,0.056222381952619506,2.127858000000002,1.3318188339471817,0.06744467912031733,0.8105709999999997,-0.4255969636142254,0.06835958567299945,-0.6930319999999995,-0.11118947239592672,0.05062911956682146,-0.38043700000000025,0.3084437683224678,0.05334628840129797,0.06675599999999986
II-VI,CdTe,M_i_A,Sb,1.4979947566986085,0.03767821512180663,1.415078999999999,2.26219624876976,0.03341987849208833,2.117354000000001,1.8470157027244567,0.04269450368622278,1.8009279999999994,0.04593557680491358,0.10058212189004974,0.4749719999999999,0.5293191879987716,0.05285049931679885,0.7069970000000004,1.0547847017645835,0.04143580873572322,0.9545780000000003
II-VI,CdTe,M_i_A,Sc,1.884983703494072,0.031707950382248974,1.8126749999999991,2.5278735935688017,0.03130616786377098,2.520083,2.2288187861442568,0.031781026833581395,2.152306999999998,0.6302203044295311,0.05894484759738495,0.4346689999999997,1.055822141468525,0.03578961547194186,1.0200460000000005,1.507149538397789,0.029864369279632864,1.4747399999999988
II-VI,CdTe,M_i_A,Se,0.8699662104249001,0.06322845679047122,0.6734989999999997,2.139676642417908,0.04557682818287492,2.1619149999999983,1.470747485756874,0.06330141077845632,1.0348729999999997,-0.4142555698752403,0.0413667393198658,-0.513231,0.011091310175834224,0.055144713493131804,-0.27146600000000015,0.44983121380209923,0.05915322941254538,0.2865210000000003
II-VI,CdTe,M_i_A,Si,1.651501965522766,0.04058669002969689,1.4479690000000003,2.357317727804184,0.0454080216429243,2.230920999999999,1.9858133733272552,0.042151654197578756,1.850333999999999,-0.476220591366291,0.05671485323028993,-0.6375239999999993,0.5366391412913799,0.06543833578410675,0.913737,1.196492573618889,0.03936074363837477,1.1994419999999995
II-VI,CdTe,M_i_A,Sn,1.835847508907318,0.04495370863673245,1.794978,2.5178588569164275,0.04110650805322573,2.404600000000001,2.157994085550308,0.038666006750766584,2.135154999999999,-0.5235082142055034,0.058649952054742036,-0.5804079999999996,0.7975934833288193,0.07904943553475458,1.026890000000001,1.3737977206707002,0.04376198842597643,1.438439000000001
II-VI,CdTe,M_i_A,Sr,1.9909878492355346,0.04695829364730797,1.9582970000000013,2.6762123107910156,0.05790730631764629,2.5557490000000014,2.297708183526993,0.04200344562127109,2.2738599999999995,-0.5744694709777832,0.028472044887268476,-0.5628239999999994,1.169781157374382,0.058375180320648305,1.0991130000000002,1.5411253541707992,0.0467450917258854,1.5396819999999993
