,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
680,IV-IV,M_A,Sc,SiGe,-0.22999699999999998,0.007957994267715086,0.05998208390825528
681,II-VI,M_B,Cl,CdTe,1.191187,-0.12429501207124227,0.0649280180795405
682,II-VI,M_B,As,CdTe,-0.234015,0.30691782869204537,0.03178651273281416
683,II-VI,M_A,Al,ZnSe,1.807005,1.0321928267359048,0.05750739676825412
684,III-V,M_A,Ca,InAs,-0.191658,0.3946477733289555,0.05224818390864343
685,III-V,M_A,Be,BP,-0.45611999999999997,0.623561447911578,0.0799565276437908
686,II-VI,M_A,Cr,CdTe,0.14960199999999998,0.5904142916123142,0.027721609488361245
687,II-VI,M_A,Co,CdTe,-0.23315,0.17595024199080445,0.029200738584374778
688,II-VI,M_B,O,CdTe,-0.303141,-0.2683656389152089,0.06225756606352088
689,II-VI,M_B,Br,CdTe,1.242809,0.02410551275977315,0.0683084878343674
690,II-VI,M_i_B,Li,CdTe,1.29833,1.1936842759373367,0.046614648049409714
691,II-VI,M_B,I,CdS,1.7076959999999999,0.7546895810520043,0.05953151415948147
692,IV-IV,M_B,Pt,SiGe,-0.128364,-0.26846140287758,0.06724994821725441
693,IV-IV,M_A,Ag,SiSn,-0.040001999999999996,-0.06939645235873051,0.05348138382320835
694,II-VI,M_A,Hg,ZnO,-0.2024,0.819129675764388,0.06172976100276524
695,IV-IV,M_A,Se,Ge,0.202956,-0.34108531812054793,0.04884314970757083
696,II-VI,M_B,Br,CdS,1.647145,0.5705913306022655,0.06369384829666214
697,II-VI,M_A,Ba,CdTe,0.002034,0.7850923350805082,0.0409211768334638
698,II-VI,M_B,I,CdTe,1.285332,0.18082800806717442,0.05463407804286681
699,IV-IV,M_A,B,SiSn,-0.461766,-0.4625679493464025,0.061619159025127795
700,II-VI,M_A,Si,CdTe,0.602237,0.40373776881634277,0.028840640977108794
701,IV-IV,M_i_B,Ga,GeSn,0.181705,0.4666671399519208,0.03360927747830918
702,IV-IV,M_i_A,Ca,Sn,0.35436799999999996,0.4887285302231521,0.04954064793913188
703,III-V,M_A,Cd,AlP,-0.076892,1.085830356444885,0.05262832921433235
704,II-VI,M_i_A,F,CdTe,-0.26274400000000003,-0.26673414515040983,0.06458635956682628
705,IV-IV,M_B,Hg,SiSn,-0.24707800000000002,-0.08643228916496347,0.06433860524002553
706,IV-IV,M_B,Ti,SiGe,-0.263373,0.14183721727170215,0.041817956161778004
707,IV-IV,M_A,Be,Sn,-0.40415100000000004,-0.3690145791774898,0.09580980751748355
