Type,AB,Site,M,âˆ†H (A-rich),std_1,âˆ†H (B-rich),std_2,(+3/+2),std_3,(+2/+1),std_4,(+1/0),std_5,(0/-1),std_6,(-1/-2),std_7,(-2/-3),std_8
III-V,BN,M_i_A,Br,7.734738795,0.306738103,8.399839527,0.356802257,-0.895437189,0.094496876,0.259699665,0.107616741,1.086752476,0.067556309,1.676883304,0.063164254,2.922865974,0.063350161,3.626814317,0.051025782
III-V,BN,M_i_A,I,8.236927996,0.241124968,8.953324922,0.30484574,-0.953183114,0.080846187,0.23680446,0.133887055,1.335432218,0.059273015,2.019951329,0.053350202,3.224183046,0.053803276,3.633394999,0.031650098
III-V,BN,M_i_A,Sc,6.632149504,0.151531398,7.238741143,0.130691076,-0.044707007,0.062579753,1.065358702,0.094463731,2.253075094,0.036320024,2.567889633,0.051455565,3.038902156,0.040949174,3.408895032,0.041222359
III-V,BN,M_i_A,Ti,6.224020118,0.213057951,7.008608939,0.184740174,-0.151192797,0.059507695,0.899139749,0.071077767,2.203214369,0.050060864,2.455388138,0.065996366,3.130055244,0.044224359,3.445150601,0.042106544
III-V,BN,M_i_A,V,6.141608084,0.205997035,6.714296065,0.25133256,-0.417560237,0.037848141,0.697265394,0.032194646,2.081838154,0.056796553,2.391555271,0.071518484,3.021848225,0.071341446,3.373212466,0.052491255
III-V,BN,M_i_A,Cr,5.836839046,0.216931477,6.543865882,0.271507978,-0.812444564,0.060381664,0.504673501,0.043370845,2.024454661,0.049382534,2.39803152,0.049323106,3.094548114,0.062043257,3.457416155,0.047240628
III-V,BN,M_i_A,Mn,5.878119192,0.139201218,6.680849919,0.233294952,-1.034706018,0.048754703,0.520994147,0.075628354,2.05562757,0.033326632,2.416720404,0.051594766,3.028977786,0.050724296,3.522514879,0.055523621
III-V,BN,M_i_A,Fe,6.349524894,0.263138128,6.840073661,0.288635544,-1.018231389,0.049444402,0.465506619,0.0504801,2.042901745,0.052544229,2.331576394,0.069219973,3.016986425,0.049330514,3.44381619,0.036937844
III-V,BN,M_i_A,Co,6.413959275,0.322411728,6.905631436,0.300920484,-1.184810011,0.059481182,0.398533683,0.063929561,2.074306871,0.056498107,2.332347827,0.075182878,3.038823963,0.044906659,3.492274073,0.030857548
III-V,BN,M_i_A,Ni,6.084615486,0.292830038,6.899857147,0.34177077,-1.237786985,0.053929191,0.379934737,0.060299175,2.10940069,0.065684768,2.376197502,0.079022418,3.011673424,0.04568391,3.529636077,0.032794502
III-V,BN,M_i_A,Cu,5.810135951,0.34100392,6.481055816,0.39405081,-1.335871139,0.048197579,0.113427707,0.081752807,2.276630055,0.049981055,2.487691092,0.080554349,3.122833194,0.035359854,3.538893282,0.03679971
III-V,BN,M_i_A,Zn,6.700998031,0.248017878,7.633046122,0.207721013,-1.193149438,0.091306057,0.664350281,0.06350616,2.258448979,0.057036429,2.618352564,0.052536271,3.331396005,0.024021024,3.595109911,0.028024932
III-V,BN,M_i_A,Y,6.986452255,0.160380355,7.430461408,0.079932591,-0.236948584,0.070331899,1.039539598,0.095810658,2.173215207,0.049404237,2.414553243,0.05223836,3.000766086,0.013019114,3.408149806,0.036939912
III-V,BN,M_i_A,Zr,6.405745134,0.25946021,7.372084002,0.064431478,-0.077974726,0.079295507,0.933623147,0.064033697,2.219116089,0.092713528,2.405856983,0.084032597,3.011422366,0.019919955,3.458143835,0.053407627
III-V,BN,M_i_A,Nb,6.76017576,0.246019869,7.637980727,0.120986362,-0.358732204,0.030320019,0.806541461,0.038876791,2.138755573,0.085526986,2.324777824,0.085499197,3.005008589,0.033767329,3.432298718,0.039053299
III-V,BN,M_i_A,Mo,6.545106958,0.186883511,7.500124005,0.127092865,-0.482936424,0.030875373,0.395078785,0.061080267,1.922878334,0.122544695,2.183720814,0.116371879,2.859717091,0.054175231,3.362454164,0.035176781
III-V,BN,M_i_A,Tc,6.688231864,0.205142709,7.403652514,0.086418632,-0.688833689,0.058035037,0.532362729,0.07723904,1.951159285,0.075757097,2.198687534,0.095679657,2.753003986,0.029194952,3.367428761,0.041369309
