Type,AB,Site,M,âˆ†H (A-rich),std_1,âˆ†H (B-rich),std_2,(+3/+2),std_3,(+2/+1),std_4,(+1/0),std_5,(0/-1),std_6,(-1/-2),std_7,(-2/-3),std_8
III-V,BP,M_B,Re,8.328049702,0.265002483,8.924515134,0.189255517,-0.708995934,0.031647839,-0.473838669,0.079535941,0.111736333,0.082653069,1.03573583,0.077040911,1.793849662,0.079842483,2.561433729,0.064590072
III-V,BP,M_B,Os,7.243679689,0.198776176,8.202075549,0.391050449,-0.835590464,0.035896537,-0.648788632,0.080031893,0.079513927,0.08169676,1.03265269,0.0635781,1.597133172,0.105607098,2.656542154,0.049341378
III-V,BP,M_B,Ir,6.340618779,0.254720622,7.521240606,0.502054369,-0.917228671,0.026297836,-0.544646534,0.044530636,0.047369435,0.071402818,1.061395427,0.058382112,1.714935356,0.090043069,2.688707432,0.049001533
III-V,BP,M_B,Pt,6.106265294,0.260171612,7.252245208,0.64561087,-1.24136365,0.027403173,-0.604176418,0.083931235,0.10475983,0.082856299,1.232674955,0.054276996,1.754696754,0.08301354,2.721726156,0.0505498
III-V,BP,M_B,Au,6.398142987,0.457589811,7.376333709,0.802982904,-1.285169873,0.016898811,-0.391270296,0.055630828,0.390816491,0.084115516,1.24810391,0.046786244,1.866358693,0.074534107,2.741507341,0.040803132
III-V,BP,M_B,Hg,7.587115099,0.252264367,8.059271358,0.244425936,-0.878664847,0.064021215,-0.187457307,0.077519059,0.485226273,0.088990557,1.465601743,0.046073869,2.14050714,0.084975879,2.704643682,0.020767238
III-V,BP,M_B,Ce,7.032320124,0.103888725,8.484269211,0.236629031,-0.561201055,0.042330582,-0.255051127,0.063568819,0.710027438,0.09888307,1.591120705,0.108622489,2.004682324,0.087234854,2.729046225,0.070594102
III-V,BP,M_B,Pr,7.565140393,0.188535597,8.604328063,0.247075346,-0.534519872,0.045878483,-0.224317082,0.067753292,0.733913734,0.097423707,1.574284872,0.108612444,1.986410135,0.082537187,2.723234222,0.070721421
III-V,BP,M_B,Nd,7.427007378,0.168504994,8.61096333,0.225499513,-0.513894643,0.041309757,-0.233105085,0.069186576,0.745177379,0.093110504,1.545789649,0.106113539,2.034877397,0.08574531,2.72627734,0.072145294
III-V,BP,M_B,Pm,7.509002153,0.147628399,8.504416827,0.23639493,-0.575209214,0.04019832,-0.247043582,0.069691558,0.727633914,0.098615159,1.531620744,0.105675552,2.017735395,0.088501395,2.69959589,0.067627265
III-V,BP,M_B,Sm,7.46256454,0.147886296,8.851699252,0.307394374,-0.653382721,0.040327548,-0.169832822,0.0663672,0.75440683,0.119097607,1.537695836,0.091012646,2.067437233,0.07902639,2.705519675,0.065506182
III-V,BP,M_B,Eu,8.289985039,0.072177277,8.69059182,0.307657773,-0.598693178,0.037344556,-0.148871967,0.062301378,0.840667057,0.121523607,1.648923206,0.067066487,2.130480315,0.080274465,2.654289368,0.062234751
III-V,BP,M_B,Gd,7.304020859,0.188183935,8.501842389,0.216174967,-0.538964626,0.030011831,-0.209490094,0.061650592,0.6555486,0.094541062,1.437349567,0.100771168,2.020521337,0.090836659,2.686016502,0.059510329
III-V,BP,M_B,Tb,7.074675695,0.09914024,8.276776479,0.223826179,-0.565405917,0.036475055,-0.269773146,0.067080666,0.684573559,0.097908027,1.398510938,0.0936317,2.037032053,0.095100708,2.695826088,0.059559888
III-V,BP,M_B,Dy,7.391305668,0.139877019,8.176189698,0.229288242,-0.70563462,0.032277161,-0.246984394,0.063619811,0.717203767,0.09993465,1.395817436,0.080211725,2.054600166,0.090593704,2.68224102,0.055720599
III-V,BP,M_B,Ho,7.268766714,0.155609488,8.200013321,0.217787526,-0.681501642,0.023803936,-0.242213739,0.064598139,0.691406976,0.100898968,1.362260691,0.079866031,2.04670455,0.092091228,2.676953168,0.053408301
III-V,BP,M_B,Er,7.335513835,0.182230832,8.056105955,0.209512989,-0.613048989,0.023022858,-0.230146447,0.066231652,0.660474069,0.104885514,1.356600237,0.080530938,2.041464303,0.088049085,2.671031267,0.050991998
III-V,BP,M_B,Tm,7.456950745,0.140896443,7.998749782,0.252814058,-0.664669787,0.023940184,-0.227754791,0.067542811,0.699813967,0.112701169,1.426042973,0.067306267,2.083356325,0.07917042,2.672505475,0.049172305
III-V,BP,M_B,Yb,7.916429234,0.095461392,7.828567477,0.252868475,-0.573781181,0.04006388,-0.22372583,0.048613874,0.833684466,0.116010563,1.588252337,0.06214363,2.190620398,0.088330755,2.659728139,0.046625791
III-V,BP,M_B,Lu,7.362929058,0.176464013,7.52359936,0.18360193,-0.680360399,0.053406745,-0.30551637,0.072291075,0.665535185,0.111663153,1.364727578,0.079022412,1.928987998,0.079633902,2.678330243,0.048273536
III-V,BP,M_i_A,Li,6.184326619,0.202899637,6.892869867,0.230737218,-1.083937613,0.026899376,-0.453862729,0.06542541,0.835168901,0.072425296,1.774640573,0.106920586,2.120394834,0.096420426,2.669073485,0.076980276
III-V,BP,M_i_A,Na,8.11663853,0.217706394,7.403401078,0.333765576,-0.997145444,0.034968203,-0.423576597,0.075901808,0.789407542,0.078449707,1.8504864,0.079224972,2.078705701,0.127824344,2.761333996,0.052807716
III-V,BP,M_i_A,K,7.744948725,0.278791468,7.301466778,0.283104565,-0.871652702,0.013766262,-0.294322861,0.018251618,0.744939068,0.106548163,1.862620308,0.103235651,2.112608924,0.125975896,2.746073647,0.061375368
III-V,BP,M_i_A,Rb,8.766868751,0.242985344,8.463463386,0.34162638,-0.77824065,0.033585214,-0.354309217,0.045252943,0.863154684,0.106593989,1.87086184,0.116682559,2.261203558,0.147776823,2.70260693,0.077763511
III-V,BP,M_i_A,Cs,9.62845637,0.280187404,8.852351111,0.308475022,-0.803298686,0.020058949,-0.322842121,0.014399807,0.904871715,0.102677264,1.914346454,0.11037339,2.317215518,0.129180517,2.575377847,0.058551269
III-V,BP,M_i_A,Be,6.586653652,0.227306226,5.683447098,0.296709068,-1.165681284,0.045315997,0.255008368,0.024718736,0.797319567,0.059680609,1.594921952,0.062788824,2.313831565,0.082218926,2.723472315,0.049941357
III-V,BP,M_i_A,Mg,7.697568613,0.163378455,7.264430806,0.379873062,-1.041860509,0.052507735,0.353684078,0.02311194,0.990547094,0.07774577,1.903290578,0.083715578,2.512636419,0.054690339,2.798140441,0.030048904
