AB,Type,Site,Impurity,,Transition Levels ->,(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Formation Energies ->,Delta_H (A_rich),Delta_H (B_rich)
CdTe,II-VI,M_i_neut,Tc,,,-0.51,0.39,0.83,1.55,2.03,2.27,,,4.28,5.23
CdTe,II-VI,M_i_neut,Ru,,,-0.34,-0.14,0.84,1.37,1.97,2.22,,,3.81,4.82
CdTe,II-VI,M_i_neut,Rh,,,-0.45,-0.17,0.49,1.05,1.88,2.3,,,2.32,3.55
CdTe,II-VI,M_i_neut,Pd,,,-0.69,-0.33,0.07,1.56,2.02,2.42,,,1.61,1.72
CdTe,II-VI,M_i_neut,Ag,,,-0.69,-0.35,1.32,1.73,2.16,2.63,,,1.69,1.66
CdTe,II-VI,M_i_neut,Cd,,,-0.65,0.75,1.11,1.77,2.13,2.52,,,2.18,3.1
CdTe,II-VI,M_i_neut,La,,,0.61,1.08,1.52,1.89,2.24,2.57,,,4.62,6.32
CdTe,II-VI,M_i_neut,Hf,,,0.97,0.98,1.38,1.75,2.16,2.26,,,4.3,6.5
CdTe,II-VI,M_i_neut,Ta,,,-0.22,1.01,1.41,1.63,1.64,1.64,,,5.55,6.86
CdTe,II-VI,M_i_neut,W,,,0.36,0.57,1.24,1.66,2.03,2.29,,,6.27,6.59
CdTe,II-VI,M_i_neut,Re,,,-0.2,0.51,0.88,1.53,1.9,2.29,,,5.92,6.42
CdTe,II-VI,M_i_neut,Os,,,-0.1,0.11,0.73,1.5,1.96,2.26,,,5.26,5.49
CdTe,II-VI,M_i_neut,Ir,,,-0.18,0,0.62,1.11,1.89,2.3,,,3.52,4.39
CdTe,II-VI,M_i_neut,Pt,,,-0.58,-0.25,0.19,1.55,2.01,2.4,,,2.2,2.62
CdTe,II-VI,M_i_neut,Au,,,-0.68,-0.33,1.19,1.56,2.06,2.4,,,2.17,1.9
CdTe,II-VI,M_i_neut,Hg,,,-0.6,0.49,0.72,1.7,2.12,2.52,,,1.95,2.28
BN,III-V,M_A,As,,,-2.25,2.91,3.84,5.13,6.58,7.74,,,14.24,5.39
BN,III-V,M_A,Pb,,,-2.14,-1.02,4.1,5.35,6.69,7.97,,,17.05,9.4
BN,III-V,M_B,F,,,-2.43,2.28,3.62,5.49,6.66,7.41,,,7.78,12.88
BN,III-V,M_B,Li,,,-1.22,2.03,2.86,3.2,3.21,6.45,,,10.05,18.41
BN,III-V,M_i_A,Hg,,,-1.38,3.07,4.33,5.66,6.95,7.87,,,33.9,33.9
BN,III-V,M_i_A,Os,,,-1.64,3.18,4.49,5.52,6.61,7.85,,,25.56,24.91
BN,III-V,M_i_B,Cl,,,-1.88,-0.46,3.29,4.4,6.71,8.06,,,20.9,19.06
BN,III-V,M_i_B,Sc,,,1.57,2.82,4.08,5.36,6.57,7.71,,,24.01,25.7
BN,III-V,M_i_neut,Re,,,0.57,6.66,6.66,6.66,6.66,6.67,,,39.14,38.13
BN,III-V,M_i_neut,Br,,,-0.42,2.57,2.57,2.57,2.58,5.28,,,48.28,47.57
BP,III-V,M_A,Be,,,-1.27,-0.89,-0.47,0.26,1.95,2.63,,,1.31,1.45
BP,III-V,M_A,Te,,,-0.14,0.43,1.2,1.9,2.34,2.7,,,7.77,6.96
BP,III-V,M_B,V,,,-1.44,-1.03,-0.43,0.94,1.77,2.38,,,2.45,2.88
BP,III-V,M_B,Se,,,-1.45,-0.71,1.04,1.75,2.2,2.68,,,1.7,2.47
BP,III-V,M_i_A,W,,,-0.67,-0.15,0.41,1.54,2.22,2.63,,,7.79,7.92
BP,III-V,M_i_A,Au,,,-1.11,-0.39,1.28,1.95,2.44,2.86,,,9.49,9.77
BP,III-V,M_i_B,Zr,,,0,0.54,1.15,1.53,2.06,2.58,,,12.28,12.19
BP,III-V,M_i_B,Ta,,,-0.35,0.31,0.87,1.33,1.96,2.63,,,10.97,10.88
BP,III-V,M_i_neut,Ag,,,-1.07,-0.33,1.4,2.07,2.56,2.99,,,8.3,8.32
BP,III-V,M_i_neut,Pt,,,-0.82,-0.35,0.26,1.75,2.42,2.91,,,6.99,8.62
BAs,III-V,M_A,Al,,,-1.14,-0.76,-0.09,1.54,2.17,2.67,,,1.92,1.92
BAs,III-V,M_A,Hf,,,-0.99,-0.46,0.92,1.59,2.09,2.58,,,7.61,7.39
BAs,III-V,M_B,Au,,,-1.31,-0.34,0.31,0.96,1.65,2.16,,,3,3.07
BAs,III-V,M_B,N,,,-1.55,-1.15,-0.46,1.26,1.87,2.29,,,-0.97,-0.97
BAs,III-V,M_i_A,Cu,,,-1.27,-0.56,1.06,1.72,2.15,2.58,,,2.83,2.83
BAs,III-V,M_i_A,S,,,-0.74,-0.03,0.49,1.05,1.51,2.18,,,10.4,10.35
BAs,III-V,M_i_B,Tc,,,-0.9,-0.38,0.5,1.11,1.65,2.1,,,7.88,7.73
BAs,III-V,M_i_B,Ti,,,-0.45,0.12,0.87,1.51,1.88,2.28,,,6.35,6.2
BAs,III-V,M_i_neut,Cs,,,-0.56,-0.06,1.36,2.04,2.47,2.84,,,18.24,18.35
BAs,III-V,M_i_neut,Te,,,-0.59,0.47,1.07,1.63,2.05,2.46,,,12.39,12.42
BSb,III-V,M_A,Cd,,,-0.58,-0.27,0.05,0.5,1.44,2.09,,,3.21,2.71
BSb,III-V,M_A,Cr,,,-1.65,-0.47,0.21,0.78,1.51,1.51,,,0.49,4.02
BSb,III-V,M_B,Hg,,,-1.14,-0.68,-0.17,0.33,0.81,1.3,,,3.58,4.27
BSb,III-V,M_B,Ge,,,-1.31,-0.91,-0.56,0.03,1.18,1.81,,,1.71,0.06
BSb,III-V,M_i_A,Mn,,,-1.8,-0.2,0.33,0.78,1.35,1.92,,,1.86,4.69
BSb,III-V,M_i_A,La,,,-0.18,0.41,0.77,1.12,1.47,1.79,,,10.25,14.43
BSb,III-V,M_i_B,Zn,,,-0.58,0.1,0.72,1.23,1.71,1.93,,,5.92,4.93
BSb,III-V,M_i_B,Ca,,,-0.48,0.54,1.07,1.39,1.62,1.88,,,8.65,12.51
BSb,III-V,M_i_neut,Cl,,,-0.78,-0.45,-0.11,0.26,1.38,2.01,,,8.11,8.71
BSb,III-V,M_i_neut,Bi,,,0.34,0.77,0.94,1.33,1.64,1.9,,,10.71,11.86
AlN,III-V,M_A,Ni,,,-1.63,-0.75,0.17,2.29,3.78,5.09,,,4.8,-4.72
AlN,III-V,M_A,La,,,-1.41,-0.56,0.35,4.29,5.25,6.15,,,5.17,-1.58
AlN,III-V,M_B,Se,,,-1.3,-0.56,3.45,4.35,5.15,6.32,,,3.58,10.18
AlN,III-V,M_B,P,,,-0.99,-0.2,0.6,4.14,5.1,5.74,,,2.58,10.8
AlN,III-V,M_i_A,Pt,,,0.43,1.82,2.95,4.39,5.43,6.31,,,14.63,11.94
AlN,III-V,M_i_A,Te,,,1.63,2.34,3.52,4.3,5.38,6.23,,,20.55,19.8
AlN,III-V,M_i_B,Au,,,-1.35,-0.47,3.44,4.44,5.3,6.17,,,12.36,11.11
AlN,III-V,M_i_B,Ca,,,-1.51,2.68,3.69,4.58,5.31,6.23,,,12.45,14.83
AlN,III-V,M_i_neut,Si,,,1.93,2.56,3.6,4.32,5.11,5.89,,,11.13,14.19
AlN,III-V,M_i_neut,Li,,,-1.82,-1.06,3.25,4.26,5.14,5.83,,,2.69,4
AlP,III-V,M_A,Cd,,,-0.87,-0.5,-0.09,0.37,2.41,2.97,,,2.15,1.28
AlP,III-V,M_A,Hf,,,-0.98,-0.56,1.49,2.05,2.54,2.91,,,2.92,2.87
AlP,III-V,M_B,Pd,,,-1.01,-0.6,1.39,1.88,2.35,2.76,,,3.2,3.82
AlP,III-V,M_B,Zr,,,-0.16,0.69,1.3,1.91,2.03,2.94,,,8.13,10.33
AlP,III-V,M_i_A,Rh,,,-0.49,0.03,0.94,1.6,2.37,2.92,,,4.37,4.1
AlP,III-V,M_i_A,Cr,,,0.08,0.51,1.06,1.94,2.52,2.89,,,0.05,0.92
AlP,III-V,M_i_B,I,,,-0.17,0.22,0.71,1.19,2.68,3.18,,,8.6,8.18
AlP,III-V,M_i_B,B,,,-0.12,0.33,1.54,2.12,2.52,2.8,,,5.06,5.75
AlP,III-V,M_i_neut,Pb,,,-0.54,1.25,1.77,2.15,2.6,3,,,6.94,6.94
AlP,III-V,M_i_neut,Mo,,,-0.2,0.22,1.23,1.66,2.09,2.54,,,5.42,5.64
AlAs,III-V,M_A,Ta,,,-0.83,0.25,0.78,1.72,2.23,2.6,,,4.16,3.31
AlAs,III-V,M_A,Ti,,,-0.92,-0.55,0.69,1.46,2.14,2.65,,,0.11,-0.56
AlAs,III-V,M_B,Tl,,,0.04,0.21,0.69,1.12,1.53,2.44,,,3.06,4.07
AlAs,III-V,M_B,O,,,-0.99,-0.59,0.65,1.16,1.97,2.5,,,3.81,4.14
AlAs,III-V,M_i_A,Te,,,0.13,0.51,0.93,1.35,1.73,2.6,,,6.34,5.67
AlAs,III-V,M_i_A,Cl,,,-0.74,-0.46,-0.13,0.24,2.22,2.69,,,4.51,4.17
AlAs,III-V,M_i_B,C,,,-0.73,-0.72,1.19,1.19,1.2,1.2,,,7.19,6.98
AlAs,III-V,M_i_B,In,,,0.17,0.64,1.54,2.05,2.37,2.68,,,4.58,5.05
AlAs,III-V,M_i_neut,Sr,,,-0.55,1.32,1.78,2.12,2.43,2.72,,,4.72,5.93
AlAs,III-V,M_i_neut,Ru,,,-0.47,-0.1,0.36,1.07,1.41,2.5,,,5.31,4.21
AlSb,III-V,M_A,Fe,,,-0.88,-0.87,-0.1,0.4,1.07,1.77,,,1.01,-0.43
AlSb,III-V,M_A,Al,,,-0.79,-0.53,-0.16,1.34,1.67,1.96,,,0,0
AlSb,III-V,M_B,S,,,-0.82,-0.46,0.86,1.27,1.55,1.86,,,2.17,2.29
AlSb,III-V,M_B,Os,,,-0.86,-0.61,-0.35,-0.03,1.3,1.62,,,5.06,4.7
AlSb,III-V,M_i_A,La,,,0.27,0.66,0.97,1.34,1.66,1.9,,,3.83,4.25
AlSb,III-V,M_i_A,W,,,-0.44,-0.06,0.26,1.2,1.58,1.85,,,4.94,3.98
AlSb,III-V,M_i_B,Cu,,,-0.72,-0.35,0.87,1.32,1.62,1.95,,,1.2,0.81
AlSb,III-V,M_i_B,B,,,-0.67,-0.39,0.97,1.29,1.61,1.94,,,4.78,4.71
AlSb,III-V,M_i_neut,Na,,,-0.66,-0.3,1.18,1.51,1.8,2.08,,,3.32,3.52
AlSb,III-V,M_i_neut,F,,,0.97,1.26,1.55,1.89,3.35,3.69,,,2.59,2.46
GaN,III-V,M_A,Bi,,,-1.36,0.3,1.34,3.05,3.93,4.8,,,4.49,-1.65
GaN,III-V,M_A,Tl,,,-1.42,-0.83,-0.17,2.73,3.73,4.83,,,3.86,-2.27
GaN,III-V,M_B,Ag,,,-1.06,1.6,2.34,3.1,3.68,4.43,,,6.08,12.15
GaN,III-V,M_B,P,,,-1.21,-0.64,0.02,2.94,3.9,4.8,,,1.92,8.67
GaN,III-V,M_i_A,Ir,,,0.78,1.41,2.37,3.28,4.13,4.94,,,11.9,10.52
GaN,III-V,M_i_A,Be,,,-1.34,1.59,2.58,3.58,4.36,4.85,,,6.1,8.16
GaN,III-V,M_i_B,Mg,,,-1.34,1.68,2.67,3.71,4.5,5.12,,,5.07,6.17
GaN,III-V,M_i_B,Co,,,-1.32,-0.63,2.21,3.2,4.35,5.04,,,6.6,5.7
GaN,III-V,M_i_neut,Li,,,-1.57,-0.91,2.16,3.15,4.17,4.96,,,1.94,2.88
GaN,III-V,M_i_neut,Cd,,,-1.29,1.49,2.43,3.6,4.24,4.95,,,9.39,9.39
GaP,III-V,M_A,Ni,,,-1.03,-0.58,-0.13,0.39,1,1.62,,,0.86,0.24
GaP,III-V,M_A,Sn,,,-0.89,-0.44,1.47,1.88,2.27,2.66,,,1.85,1.1
GaP,III-V,M_B,Mg,,,0.03,0.37,0.79,1.12,1.6,1.98,,,3.82,5.59
GaP,III-V,M_B,Cu,,,-0.84,0.25,0.57,1.02,1.46,1.88,,,1.72,2.61
GaP,III-V,M_i_A,Cl,,,-0.82,-0.44,-0.12,0.23,2.11,2.54,,,5.65,5.33
GaP,III-V,M_i_A,Ba,,,-0.55,1.07,1.6,1.97,2.29,2.61,,,7.85,8.31
GaP,III-V,M_i_B,Pb,,,-0.53,1.34,1.75,2.12,2.43,2.71,,,6.81,6.81
GaP,III-V,M_i_B,Cd,,,-0.61,0.99,1.51,1.93,2.36,2.7,,,4.37,4.75
GaP,III-V,M_i_neut,Li,,,-0.93,-0.48,1.49,1.89,2.28,2.64,,,1.31,1.74
GaP,III-V,M_i_neut,Ti,,,0.2,0.67,1.31,1.72,2.07,2.46,,,1.9,2.8
GaAs,III-V,M_A,Si,,,-0.88,-0.53,0.62,1.21,1.46,1.68,,,1.26,0.8
GaAs,III-V,M_A,Hf,,,-0.84,-0.53,0.7,1.11,1.49,1.78,,,2.59,2.63
GaAs,III-V,M_B,La,,,-0.03,0.2,0.65,1,1.29,1.55,,,6.65,7.9
GaAs,III-V,M_B,N,,,-1,-0.78,-0.45,0.55,0.99,1.36,,,-3.2,-3.2
GaAs,III-V,M_i_A,F,,,-0.96,-0.69,-0.46,-0.11,1.1,1.71,,,2.12,1.89
GaAs,III-V,M_i_A,Tc,,,-0.6,-0.31,0.57,1,1.28,1.7,,,3.59,4.08
GaAs,III-V,M_i_B,Ag,,,-0.72,-0.35,0.74,1.34,1.6,1.81,,,2.27,2.2
GaAs,III-V,M_i_B,Pt,,,-0.67,-0.43,-0.08,0.83,1.39,1.67,,,3.81,3.54
GaAs,III-V,M_i_neut,Zn,,,-0.61,0.06,0.53,1.01,1.57,1.77,,,1.95,2.44
GaAs,III-V,M_i_neut,Sc,,,0.27,0.74,1.06,1.31,1.53,1.74,,,2.43,3.13
GaSb,III-V,M_A,Al,,,-0.67,-0.49,-0.18,0.49,1.05,1.21,,,0.03,0.01
GaSb,III-V,M_A,Se,,,-0.53,-0.31,0.37,0.73,1.01,1.23,,,3.01,2.33
GaSb,III-V,M_B,Ru,,,-0.83,-0.6,-0.42,-0.16,0.55,0.82,,,3.85,3.43
GaSb,III-V,M_B,S,,,-0.67,-0.37,0.2,0.65,0.9,1.09,,,1.64,1.64
GaSb,III-V,M_i_A,Rb,,,-0.49,-0.19,0.45,0.99,1.17,1.32,,,2.74,2.99
GaSb,III-V,M_i_A,Ir,,,-0.52,-0.2,0.03,0.38,0.65,1.05,,,4.14,4.12
GaSb,III-V,M_i_B,Os,,,-0.32,-0.07,0.2,0.43,0.6,0.77,,,6.04,5.04
GaSb,III-V,M_i_B,La,,,0.13,0.62,0.83,1.01,1.19,1.37,,,4.37,4.31
GaSb,III-V,M_i_neut,W,,,-0.26,0.01,0.32,0.54,0.81,0.81,,,5.42,5.42
GaSb,III-V,M_i_neut,Se,,,-0.38,0.09,0.33,0.63,0.71,0.72,,,3.61,3.27
InN,III-V,M_A,Sb,,,-0.95,0.27,0.92,1.76,2.16,2.64,,,0.93,-4.34
InN,III-V,M_A,Nb,,,-0.99,0.28,0.95,1.78,2.21,2.55,,,-2.55,-4.91
InN,III-V,M_B,Sr,,,1.29,1.59,2.04,2.35,2.69,3.02,,,8.58,15.86
InN,III-V,M_B,I,,,-0.44,0.86,1.5,2.36,2.71,2.98,,,3.23,8.13
InN,III-V,M_i_A,Li,,,-0.82,-0.43,0.83,1.47,2.36,2.74,,,1.2,2.36
InN,III-V,M_i_A,Pd,,,-0.49,0.29,0.85,1.4,1.94,2.85,,,5.59,4.43
InN,III-V,M_i_B,Zr,,,0.46,1.31,1.71,2.08,2.45,3.07,,,2.13,5.24
InN,III-V,M_i_B,Cs,,,-0.35,-0.35,1.03,1.68,2.6,2.99,,,9.81,11.06
InN,III-V,M_i_neut,In,,,0.12,0.73,1.58,1.97,2.44,2.81,,,4.52,4.7
InN,III-V,M_i_neut,Be,,,-0.87,0.4,1.05,1.94,2.33,2.65,,,0.18,2.24
InP,III-V,M_A,Bi,,,-0.57,-0.06,0.41,1.48,1.88,2.15,,,1.56,1.1
InP,III-V,M_A,Rb,,,-0.47,-0.23,0.13,0.59,0.9,1.97,,,3.77,3.82
InP,III-V,M_B,F,,,-0.59,0.47,0.56,1.32,1.61,1.92,,,2.08,2.38
InP,III-V,M_B,Ba,,,0.94,1.16,1.43,1.69,1.96,2.18,,,6.52,7.92
InP,III-V,M_i_A,Tc,,,0,0.09,1.01,1.45,1.66,1.99,,,4.83,6.22
InP,III-V,M_i_A,S,,,-0.43,-0.18,0.23,0.55,0.84,1.97,,,5.04,4.65
InP,III-V,M_i_B,Hf,,,0.83,1.11,1.41,1.68,1.91,2.19,,,5.15,5.79
InP,III-V,M_i_B,Cu,,,-0.62,-0.32,1.13,1.52,1.82,2.09,,,0.52,0.86
InP,III-V,M_i_neut,Ir,,,-0.06,0.23,0.56,0.98,1.69,2.03,,,3.82,5.17
InP,III-V,M_i_neut,Br,,,-0.19,0.12,0.2,0.2,1.74,2.14,,,4.88,4.51
InAs,III-V,M_A,Ca,,,-0.65,-0.43,-0.2,0.06,1.13,1.49,,,1.41,1.49
InAs,III-V,M_A,Al,,,-0.74,-0.52,-0.22,0.84,1.18,1.43,,,0.14,0.14
InAs,III-V,M_B,Li,,,-0.17,0.25,0.37,0.68,0.86,1.09,,,2.9,3.61
InAs,III-V,M_B,Zn,,,-0.13,0.04,0.22,0.49,0.75,0.97,,,1.43,2.42
InAs,III-V,M_i_A,Tl,,,-0.5,-0.18,0.83,1.18,1.46,1.75,,,2.17,2.17
InAs,III-V,M_i_A,Pb,,,-0.34,0.6,0.97,1.26,1.53,1.75,,,2.67,2.65
InAs,III-V,M_i_B,W,,,0.23,0.59,0.73,1,1.33,1.62,,,5.47,5.68
InAs,III-V,M_i_B,Ta,,,0.42,0.76,0.96,1.17,1.44,1.64,,,4.89,5.72
InAs,III-V,M_i_neut,Ba,,,-0.35,0.63,1,1.26,1.6,1.81,,,3.03,3.84
InAs,III-V,M_i_neut,Ni,,,-0.56,-0.21,0.16,0.93,1.24,1.51,,,-0.2,0.2
InSb,III-V,M_A,Ag,,,-0.72,-0.53,-0.23,-0.01,0.26,0.86,,,1.29,0.95
InSb,III-V,M_A,Pd,,,-0.71,-0.51,-0.26,0.11,0.34,0.61,,,2,1.59
InSb,III-V,M_B,Hf,,,-0.51,-0.33,-0.12,0.08,0.78,1.18,,,4.67,5.36
InSb,III-V,M_B,As,,,-0.66,-0.46,-0.19,0.51,0.92,1.14,,,0.09,0.09
InSb,III-V,M_i_A,Zr,,,-0.01,0.23,0.52,0.88,1.04,1.24,,,3.04,3.57
InSb,III-V,M_i_A,O,,,-0.67,-0.48,-0.29,-0.12,0.12,0.87,,,3.26,3.07
InSb,III-V,M_i_B,Pt,,,-0.46,-0.28,-0.03,0.47,0.91,1.17,,,2.77,2.79
InSb,III-V,M_i_B,Nb,,,0.19,0.31,0.48,0.76,1.04,1.23,,,3.91,4.4
InSb,III-V,M_i_neut,Se,,,-0.38,0.14,0.4,0.46,0.46,1.01,,,2.8,2.52
InSb,III-V,M_i_neut,Y,,,0.14,0.57,0.85,0.86,1.18,1.32,,,3.57,3.85
C,IV-IV,M_A,Br,,,-0.17,1.01,2.61,3.9,5.05,6.04,,,18.3,18.3
C,IV-IV,M_A,Mo,,,-1.98,-0.89,0.7,3.57,4.96,6.25,,,12.71,12.71
C,IV-IV,M_A,Re,,,-2.07,-1.14,1.28,2.92,5.52,6.59,,,13.01,13.02
C,IV-IV,M_A,Te,,,-1.69,2.62,3.72,4.61,5.66,6.53,,,20.36,20.36
C,IV-IV,M_A,Nb,,,-1.91,-1.06,1.74,3.42,5.44,6.41,,,14.65,14.65
C,IV-IV,M_i_A,F,,,-2.18,2.7,2.71,2.71,5.44,6.57,,,19.4,19.4
C,IV-IV,M_i_A,Co,,,-1.77,-0.89,2.9,3.55,5.39,6.43,,,18.49,18.49
C,IV-IV,M_i_A,Fe,,,-1.72,-0.02,1.31,3.34,4.47,6.33,,,13.11,13.11
C,IV-IV,M_i_A,Hg,,,-2.91,-2.91,-2.9,-2.9,-2.9,1.23,,,86.04,86.04
C,IV-IV,M_i_A,Cd,,,-1.33,2.77,3.8,3.8,3.81,3.81,,,34.68,34.68
C,IV-IV,M_i_neut,Ca,,,-1.37,1.28,2.31,2.31,6.71,6.72,,,28.7,28.7
C,IV-IV,M_i_neut,P,,,-1.57,-0.44,2.15,3.87,4.97,4.98,,,20.64,20.64
C,IV-IV,M_i_neut,Ga,,,0.49,1.84,2.59,2.59,2.6,5.9,,,26.73,26.73
C,IV-IV,M_i_neut,Ni,,,-1.65,-0.65,0.62,4.6,5.78,6.69,,,13.33,13.33
C,IV-IV,M_i_neut,Cs,,,-0.39,0.81,4.62,4.62,4.62,5.09,,,46.54,46.54
Si,IV-IV,M_A,O,,,-0.98,-0.62,-0.26,0.71,1.06,1.4,,,4.06,4.05
Si,IV-IV,M_A,Ti,,,-0.88,-0.62,-0.23,0.68,1.14,1.5,,,1.09,1.09
Si,IV-IV,M_A,Tl,,,-0.6,-0.35,-0.03,0.36,1.1,1.51,,,2.32,2.32
Si,IV-IV,M_A,Li,,,-0.71,-0.34,0.06,0.37,0.69,0.96,,,3.08,3.08
Si,IV-IV,M_A,Ge,,,-0.96,-0.68,-0.18,0.78,1.21,1.56,,,-0.08,-0.09
Si,IV-IV,M_i_A,Pb,,,-0.43,0.49,0.92,1.2,1.49,1.78,,,6.03,6.03
Si,IV-IV,M_i_A,Cl,,,-0.76,-0.46,-0.15,0.15,1.11,1.56,,,3.61,3.61
Si,IV-IV,M_i_A,C,,,-0.66,-0.28,0.2,0.52,0.89,1.28,,,6.36,6.36
Si,IV-IV,M_i_A,Be,,,-0.64,0.02,0.49,0.84,1.3,1.56,,,2.49,2.49
Si,IV-IV,M_i_A,W,,,-0.53,-0.22,0.12,0.72,1.21,1.45,,,3.15,3.15
Si,IV-IV,M_i_neut,Sr,,,-0.49,0.37,0.76,1.08,1.43,1.7,,,6.4,6.4
Si,IV-IV,M_i_neut,As,,,-0.86,-0.35,0.64,1.03,1.36,1.62,,,4.1,4.1
Si,IV-IV,M_i_neut,Mn,,,-0.67,-0.14,0.26,0.77,1.18,1.82,,,1,1
Si,IV-IV,M_i_neut,Cu,,,-0.8,-0.34,0.5,0.93,1.26,1.58,,,0.59,0.59
Si,IV-IV,M_i_neut,Ag,,,-0.76,-0.28,0.57,1.01,1.35,1.63,,,2.84,2.84
Ge,IV-IV,M_A,Se,,,-0.54,-0.25,0.19,0.5,0.8,0.99,,,1.34,1.34
Ge,IV-IV,M_A,Hf,,,-0.74,-0.55,-0.25,0.28,0.74,1.03,,,3.19,3.19
Ge,IV-IV,M_A,Au,,,-0.82,-0.62,-0.24,0.12,0.37,0.58,,,0.72,0.73
Ge,IV-IV,M_A,Y,,,-0.52,-0.38,-0.19,0.07,0.5,1.01,,,3.36,3.36
Ge,IV-IV,M_A,S,,,-0.57,-0.31,0.13,0.44,0.77,0.96,,,2.19,2.2
Ge,IV-IV,M_i_A,K,,,-0.59,-0.22,0.17,0.78,0.98,1.13,,,2.89,2.89
Ge,IV-IV,M_i_A,Mg,,,-0.42,-0.06,0.49,0.74,0.92,1.07,,,1.98,1.98
Ge,IV-IV,M_i_A,N,,,-0.76,-0.48,-0.2,-0.05,0.11,0.36,,,-0.76,-0.76
Ge,IV-IV,M_i_A,Sn,,,-0.34,0.03,0.62,0.8,0.99,1.17,,,3.74,3.74
Ge,IV-IV,M_i_A,Ta,,,-0.23,0.02,0.28,0.52,0.72,0.95,,,4.37,4.37
Ge,IV-IV,M_i_neut,La,,,-0.24,0.19,0.49,0.72,0.87,1.08,,,5.33,5.33
Ge,IV-IV,M_i_neut,Zn,,,-0.42,-0.1,0.27,0.61,0.84,1.06,,,2.05,2.05
Ge,IV-IV,M_i_neut,Zr,,,-0.28,0.11,0.36,0.6,0.86,1.03,,,5.1,5.1
Ge,IV-IV,M_i_neut,Pt,,,-0.62,-0.3,-0.01,0.32,0.84,1.02,,,2.35,2.35
Ge,IV-IV,M_i_neut,Na,,,-0.64,-0.25,0.13,0.75,0.93,1.09,,,3.88,3.88
Sn,IV-IV,M_A,Sb,,,-0.57,-0.31,-0.1,0.34,0.55,0.7,,,0.18,0.17
Sn,IV-IV,M_A,Cr,,,-0.64,-0.64,-0.34,-0.13,0.03,0.32,,,-1.35,-1.35
Sn,IV-IV,M_A,Be,,,-0.85,-0.63,-0.41,-0.27,0,0.21,,,1.11,1.1
Sn,IV-IV,M_A,Mn,,,-0.72,-0.56,-0.35,-0.11,0.09,1.47,,,-0.47,-0.47
Sn,IV-IV,M_A,Rb,,,-0.33,-0.12,0.2,0.44,0.6,0.68,,,2.91,2.9
Sn,IV-IV,M_i_A,Si,,,-0.36,-0.16,0.22,0.34,0.55,0.69,,,2.44,2.44
Sn,IV-IV,M_i_A,Co,,,-0.54,-0.3,-0.1,0.2,0.49,0.66,,,2.39,2.39
Sn,IV-IV,M_i_A,Ca,,,-0.33,-0.12,0.34,0.5,0.67,0.82,,,1.29,1.29
Sn,IV-IV,M_i_A,Mo,,,-0.55,-0.21,0.03,0.34,0.55,0.7,,,3.66,3.66
Sn,IV-IV,M_i_A,N,,,-0.64,-0.46,-0.26,-0.12,-0.01,0.22,,,-2,-2
Sn,IV-IV,M_i_neut,Rh,,,-0.58,-0.3,-0.03,0.07,0.32,0.64,,,2.45,2.45
Sn,IV-IV,M_i_neut,Sn,,,-0.38,-0.16,0.07,0.36,0.54,0.74,,,2.4,2.4
Sn,IV-IV,M_i_neut,Ge,,,-0.49,-0.21,0,0.22,0.56,0.74,,,2.08,2.08
Sn,IV-IV,M_i_neut,I,,,-0.28,-0.1,0.14,0.36,0.55,0.77,,,3.55,3.55
Sn,IV-IV,M_i_neut,Bi,,,-0.46,-0.16,0.07,0.49,0.68,0.83,,,2.43,2.43
SiC,IV-IV,M_A,Bi,,,-1.35,-0.69,1.61,2.48,3.2,3.75,,,5.91,5.49
SiC,IV-IV,M_A,Os,,,-1.22,-0.2,0.71,1.91,2.76,3.43,,,5.11,4.27
SiC,IV-IV,M_A,Rb,,,-0.73,-0.18,0.77,1.76,2.54,3.17,,,10.95,10.49
SiC,IV-IV,M_A,Ge,,,-1.51,-0.91,-0.25,2.02,2.98,3.7,,,1.29,0.88
SiC,IV-IV,M_A,V,,,-1.52,-0.91,0.96,1.82,2.68,3.49,,,-0.46,-0.53
SiC,IV-IV,M_B,Sc,,,0.32,1.21,1.79,2.36,2.98,3.86,,,10.4,10.4
SiC,IV-IV,M_B,Sb,,,-0.49,0.02,1.79,2.57,3.22,3.97,,,6.97,7.39
SiC,IV-IV,M_B,Rh,,,-1.08,-0.54,1.91,2.5,3.07,3.95,,,5.27,5.27
SiC,IV-IV,M_B,I,,,0.64,1.42,2.02,2.86,3.41,3.79,,,8.78,9.2
SiC,IV-IV,M_B,Pd,,,-1.07,1.34,1.87,2.48,3.17,3.87,,,5.76,5.76
SiC,IV-IV,M_i_A,Ru,,,-1.04,1.14,2.02,2.46,3.07,3.81,,,9.27,8.85
SiC,IV-IV,M_i_A,Ba,,,0.5,1.75,1.78,3.05,3.52,4.16,,,23.54,23.26
SiC,IV-IV,M_i_A,B,,,-0.41,0.34,1.79,2.53,3.26,3.69,,,8.01,8.04
SiC,IV-IV,M_i_A,Tc,,,-0.77,-0.15,1.7,2.53,3.12,3.67,,,8.61,8.19
SiC,IV-IV,M_i_A,In,,,0.71,1.69,2.46,2.91,3.43,3.9,,,15.96,15.96
SiC,IV-IV,M_i_B,Cr,,,-0.49,0.18,1.36,2.1,2.71,3.34,,,2.93,2.52
