AB,Type,Site,Impurity,,Transition Levels ->,(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Formation Energies ->,Delta_H (A_rich),Delta_H (B_rich)
ZnTe,II-VI,M_A,Os,,,-0.84,0.03,0.52,1.05,1.97,2.41,,,4.57,3.46
ZnTe,II-VI,M_A,Mo,,,-0.85,0.21,0.64,1.63,1.89,2.75,,,4.15,3.44
ZnTe,II-VI,M_A,Cu,,,-0.95,-0.55,-0.19,0.23,2.18,2.63,,,0.79,-0.66
ZnTe,II-VI,M_B,Ge,,,-0.83,-0.49,-0.07,0.33,0.75,2.42,,,1.54,3.05
ZnTe,II-VI,M_B,Se,,,-0.91,-0.61,-0.23,1.8,2.28,2.61,,,-0.26,-0.26
ZnTe,II-VI,M_B,Li,,,0.13,0.38,1.11,1.47,1.73,2.11,,,3.4,5.39
ZnTe,II-VI,M_B,Zn,,,-0.78,0.63,0.77,1.06,1.54,1.96,,,1.89,4.15
ZnTe,II-VI,M_B,N,,,-0.9,-0.87,-0.86,-0.86,2.66,2.67,,,-2.12,-0.87
ZnTe,II-VI,M_i_A,C,,,-0.72,-0.26,0.29,0.52,1.34,1.77,,,6.79,6.79
ZnTe,II-VI,M_i_A,Zr,,,0.05,0.61,1.53,1.93,2.28,2.57,,,3.73,5.64
ZnTe,II-VI,M_i_A,Cr,,,-0.65,-0.07,1.58,2.03,2.4,2.72,,,-0.54,0.03
ZnTe,II-VI,M_i_A,P,,,-0.13,0.15,0.47,1.14,1.49,1.9,,,4.26,3.8
ZnTe,II-VI,M_i_A,Ca,,,-0.67,1.29,1.76,2.13,2.47,2.75,,,3.24,4.57
ZnTe,II-VI,M_i_B,Be,,,-0.71,0.97,1.44,1.98,2.39,2.73,,,3.43,4.16
ZnTe,II-VI,M_i_B,Ag,,,-0.76,-0.38,1.57,2.03,2.41,2.74,,,2.35,2.31
ZnTe,II-VI,M_i_B,Ti,,,0.15,0.97,1.53,1.88,2.3,2.6,,,1.78,3.11
ZnTe,II-VI,M_i_B,S,,,0.18,0.19,0.47,0.89,0.9,2.14,,,6.01,4.68
ZnTe,II-VI,M_i_B,Na,,,-0.78,-0.42,1.65,2.13,2.52,2.8,,,3.76,4.56
ZnTe,II-VI,M_i_neut,Sb,,,0.09,0.23,1.32,1.67,2.1,2.6,,,4.31,4.58
ZnTe,II-VI,M_i_neut,Mn,,,-0.68,0.47,1.19,1.95,2.38,4.03,,,0.79,1.08
ZnTe,II-VI,M_i_neut,W,,,0.1,0.49,0.9,1.55,2.25,2.57,,,6.38,6.7
ZnTe,II-VI,M_i_neut,Pt,,,-0.76,-0.32,0.11,1.87,2.17,2.17,,,2.9,2.56
ZnTe,II-VI,M_i_neut,Tl,,,-0.68,-0.3,1.67,2.19,2.55,2.83,,,2.78,3.26
CdO,II-VI,M_A,Ru,,,-0.11,0.26,1.18,1.18,2.07,2.43,,,2.9,6.55
CdO,II-VI,M_A,Rh,,,-0.39,0.18,0.68,1.06,1.68,2.43,,,2.92,4.61
CdO,II-VI,M_A,Ir,,,-0.22,0.38,0.93,1.37,1.96,2.5,,,3.59,5.56
CdO,II-VI,M_A,Rb,,,-0.88,-0.5,-0.11,0.28,1.47,2.16,,,2.18,2.35
CdO,II-VI,M_A,B,,,-1.24,-0.85,0.28,0.97,1.82,2.2,,,1.88,2.9
CdO,II-VI,M_B,Nb,,,0.05,0.56,1.17,1.69,2.27,2.67,,,12.32,19.45
CdO,II-VI,M_B,Re,,,-0.2,0.57,1.14,1.63,2.21,2.6,,,10.23,18.38
CdO,II-VI,M_B,Sc,,,0.42,1.04,1.31,1.95,2.27,2.72,,,9.69,14.78
CdO,II-VI,M_B,V,,,-0.17,0.57,1.14,1.71,2.18,2.69,,,5.06,11.78
CdO,II-VI,M_B,Te,,,-0.56,-0.17,0.23,1.3,1.97,2.82,,,1.26,7.82
CdO,II-VI,M_i_A,Pb,,,-0.22,0.76,1.31,2.02,2.4,2.77,,,3.53,6.54
CdO,II-VI,M_i_A,Ta,,,0.87,1.21,1.61,1.91,2.58,2.91,,,5.73,10.82
CdO,II-VI,M_i_A,Si,,,1.81,1.82,1.82,1.82,1.88,1.89,,,6.57,10.64
CdO,II-VI,M_i_A,Tc,,,-0.38,1.02,1.41,1.99,1.99,2.69,,,4.88,8.96
CdO,II-VI,M_i_A,Ni,,,-0.85,0.24,0.91,1.5,2.11,2.48,,,0.68,2.52
CdO,II-VI,M_i_B,Mg,,,-0.86,0.25,0.93,1.79,2.2,2.62,,,1.45,3.49
CdO,II-VI,M_i_B,Sn,,,0.18,0.96,1.36,1.93,2.39,2.89,,,3.7,7.77
CdO,II-VI,M_i_B,Br,,,-0.76,-0.21,0.39,0.94,1.66,2.28,,,5.65,4.84
CdO,II-VI,M_i_B,Y,,,0.03,0.7,1.54,1.96,2.41,2.76,,,3.84,6.89
CdO,II-VI,M_i_B,Sr,,,-0.68,0.43,1.1,1.95,2.37,2.8,,,3.33,5.81
CdO,II-VI,M_i_neut,Co,,,-0.85,-0.24,0.68,1.31,2.13,2.56,,,2.65,5.44
CdO,II-VI,M_i_neut,K,,,-0.76,-0.4,0.76,1.45,2.28,2.7,,,2.84,4.91
CdO,II-VI,M_i_neut,Cd,,,-0.8,0.27,0.91,1.74,2.2,2.59,,,2.32,4.36
CdO,II-VI,M_i_neut,O,,,-0.18,-0.18,-0.17,0.72,1.55,1.66,,,5.21,3.17
CdO,II-VI,M_i_neut,In,,,-0.1,0.45,1.23,1.66,2.24,2.7,,,3.63,6.68
CdS,II-VI,M_A,In,,,-0.85,-0.52,1.49,2.08,2.83,3,,,1.07,1.72
CdS,II-VI,M_A,V,,,-0.33,-0.04,1.29,1.94,2.47,3.09,,,-1.12,1.63
CdS,II-VI,M_A,O,,,-0.91,-0.34,0.06,0.43,2.07,2.71,,,8.04,6.61
CdS,II-VI,M_A,Zr,,,-0.85,1.2,1.74,2.19,2.74,3.29,,,3.19,5.4
CdS,II-VI,M_A,Se,,,-0.81,0.6,1,1.49,2.32,2.92,,,5.41,2.86
CdS,II-VI,M_A,S,,,-0.84,0.42,0.79,1.28,2.28,2.9,,,6.67,4.06
CdS,II-VI,M_B,Br,,,-0.76,-0.42,1.64,2.22,3.09,3.39,,,0.6,1.33
CdS,II-VI,M_B,Se,,,-0.81,-0.46,-0.16,1.91,2.49,3.35,,,0.03,0.07
CdS,II-VI,M_B,I,,,-0.69,-0.39,1.7,2.27,3.14,3.46,,,0.73,1.38
CdS,II-VI,M_B,Na,,,0.93,1.15,1.89,2.22,2.86,3.13,,,5.94,9.35
CdS,II-VI,M_B,Zn,,,-0.66,1.28,1.55,1.8,2.22,2.77,,,3.3,6.05
CdS,II-VI,M_B,Cd,,,-0.66,1.33,1.7,2.08,2.39,2.91,,,3.16,6.13
CdS,II-VI,M_i_A,Ta,,,0.71,1.35,1.88,2.57,2.76,3.07,,,6.77,10.11
CdS,II-VI,M_i_A,Be,,,-0.74,1.09,1.42,2.23,2.64,3.33,,,5.09,6.39
CdS,II-VI,M_i_A,Mo,,,0.9,1.36,1.81,2.23,2.57,3.26,,,6.66,9.27
CdS,II-VI,M_i_A,Sn,,,-0.54,1.51,2.02,2.64,3.01,3.29,,,3.92,6.13
CdS,II-VI,M_i_A,Al,,,0.58,0.66,1.89,2.37,3.02,3.36,,,4.63,6.58
CdS,II-VI,M_i_A,Cd,,,-0.65,1.14,1.54,2.4,2.78,3.47,,,3.02,4.69
CdS,II-VI,M_i_A,S,,,-0.6,-0.31,0.52,0.98,1.46,2.67,,,5.43,4.13
CdS,II-VI,M_i_B,Ti,,,1,1.42,1.89,2.63,3.05,3.37,,,2.36,5.66
CdS,II-VI,M_i_B,Rb,,,-0.6,-0.32,1.75,2.34,3.22,3.56,,,3.53,6.1
CdS,II-VI,M_i_B,Ir,,,-0.08,0.74,1.24,1.74,2.25,2.8,,,4.76,7.27
CdS,II-VI,M_i_B,Rh,,,-0.46,0.5,1.09,1.71,2.29,2.8,,,3.33,5.55
CdS,II-VI,M_i_B,Te,,,0.37,0.49,1.21,1.61,2.08,2.83,,,5.73,4.81
CdS,II-VI,M_i_B,Cd,,,-0.66,1.28,1.74,2.36,2.73,3.52,,,2.99,4.66
CdS,II-VI,M_i_B,S,,,-0.1,-0.09,0.74,1.09,1.55,2.65,,,5.86,4.55
CdS,II-VI,M_i_neut,Pt,,,-0.47,0.19,0.68,1.94,2.53,3.34,,,2.98,4.59
CdS,II-VI,M_i_neut,Cs,,,-0.59,-0.26,1.77,2.31,3.05,3.44,,,4.44,7.37
CdS,II-VI,M_i_neut,Ga,,,-0.51,0.57,1.78,2.28,2.98,3.36,,,3.51,5.46
CdS,II-VI,M_i_neut,Li,,,-0.81,-0.46,1.59,2.17,3,3.33,,,1.59,3.64
CdS,II-VI,M_i_neut,As,,,-0.54,0.62,1.68,2.18,2.48,2.79,,,4.09,5.38
CdS,II-VI,M_i_neut,Cd,,,-0.67,1.13,1.64,2.37,2.75,3.48,,,3.31,4.98
CdS,II-VI,M_i_neut,S,,,-0.69,0.79,0.79,1.44,1.91,2.71,,,5.27,3.97
CdSe,II-VI,M_A,Pb,,,-0.72,-0.2,0.3,1.63,2.15,2.93,,,0.76,0.62
CdSe,II-VI,M_A,Cu,,,-0.92,-0.55,-0.18,0.32,1.75,2.29,,,0.67,-0.35
CdSe,II-VI,M_A,Tl,,,-0.77,-0.45,0.81,1.29,2.04,2.48,,,1.23,0.5
CdSe,II-VI,M_A,Ru,,,-0.79,0.21,0.78,1.1,1.76,2.36,,,3.43,3.43
CdSe,II-VI,M_A,C,,,-0.91,0.31,0.46,1.47,1.91,2.6,,,6.23,4.96
CdSe,II-VI,M_A,Se,,,-0.77,0.35,0.81,1.34,1.93,2.45,,,4.91,2.38
CdSe,II-VI,M_B,Os,,,-0.59,-0.59,0.01,1.39,1.86,2.32,,,5.9,7.72
CdSe,II-VI,M_B,Ge,,,-0.56,-0.28,0.42,0.77,1.17,2.18,,,2.16,4.24
CdSe,II-VI,M_B,Si,,,-0.68,-0.37,0.26,0.66,1.06,2.17,,,2.6,5.24
CdSe,II-VI,M_B,Hf,,,-0.38,0.14,1.11,1.53,1.83,2.41,,,7.04,10.88
CdSe,II-VI,M_B,Ca,,,0.33,1.1,1.5,1.93,2.23,2.69,,,5.62,8.18
CdSe,II-VI,M_B,Cd,,,-0.7,0.98,1.34,1.7,2,2.47,,,2.09,4.62
CdSe,II-VI,M_i_A,Bi,,,0.76,1.14,1.52,1.77,2.21,2.61,,,3.95,4.91
CdSe,II-VI,M_i_A,Au,,,-0.72,-0.38,1.01,1.45,2.22,2.58,,,2.53,2.21
CdSe,II-VI,M_i_A,F,,,-0.87,-0.55,-0.25,0.08,1.78,2.34,,,2.22,1.59
CdSe,II-VI,M_i_A,Fe,,,-0.51,0.42,1.25,1.74,2.28,2.83,,,0.99,2.03
CdSe,II-VI,M_i_A,K,,,-0.64,-0.32,1.34,1.89,2.61,2.95,,,1.43,2.44
CdSe,II-VI,M_i_A,Cd,,,-0.65,0.76,1.17,1.96,2.3,2.93,,,1.79,3.05
CdSe,II-VI,M_i_A,Se,,,-0.35,-0.16,0.55,0.95,1.37,2.26,,,4.25,3
CdSe,II-VI,M_i_B,B,,,0.89,1.5,1.51,1.76,2.52,2.79,,,4.87,5.27
CdSe,II-VI,M_i_B,Cl,,,-0.69,-0.36,0.01,0.34,1.9,2.47,,,4.16,3.52
CdSe,II-VI,M_i_B,La,,,0.67,1.21,1.94,2.33,2.73,3.07,,,4.06,6.17
CdSe,II-VI,M_i_B,Pd,,,-0.66,-0.23,0.23,1.52,2.05,2.85,,,2.14,2.09
CdSe,II-VI,M_i_B,Sr,,,-0.62,1.02,1.58,2.37,2.77,3.04,,,3.02,4.29
CdSe,II-VI,M_i_B,Cd,,,-0.65,0.94,1.41,1.93,2.28,2.99,,,1.84,3.09
CdSe,II-VI,M_i_B,Se,,,-0.03,0.06,0.7,1.04,1.42,2.25,,,4.63,3.38
CdSe,II-VI,M_i_neut,Ag,,,-0.75,-0.38,1.2,1.79,2.55,2.92,,,1.64,1.62
CdSe,II-VI,M_i_neut,Co,,,-0.71,-0.36,1.24,1.8,2.55,2.93,,,2.29,3.17
CdSe,II-VI,M_i_neut,Ni,,,-0.54,0,0.79,1.6,2.1,2.86,,,-0.02,0.66
CdSe,II-VI,M_i_neut,P,,,-0.6,0.29,1.27,1.77,2.05,2.57,,,3.73,3.7
CdSe,II-VI,M_i_neut,Ca,,,-0.61,1.04,1.58,2.29,2.66,2.98,,,3.22,4.49
CdSe,II-VI,M_i_neut,Cd,,,-0.67,0.87,1.35,1.99,2.31,2.98,,,2.15,3.4
CdSe,II-VI,M_i_neut,Se,,,-0.63,0.7,0.83,1.34,1.79,2.34,,,4.12,2.87
CdTe,II-VI,M_A,Li,,,-0.83,-0.54,-0.24,0.07,1.79,2.31,,,1.06,0.58
CdTe,II-VI,M_A,Na,,,-0.74,-0.46,-0.17,0.16,1.88,2.34,,,1.28,0.95
CdTe,II-VI,M_A,K,,,-0.58,-0.26,-0.06,0.27,1.92,2.48,,,1.82,1.61
CdTe,II-VI,M_A,Rb,,,-0.53,-0.24,0.04,0.37,1.99,2.44,,,2.03,1.95
CdTe,II-VI,M_A,Cs,,,-0.43,-0.21,0.12,0.49,1.99,2.53,,,2.35,2.33
CdTe,II-VI,M_A,Be,,,-0.9,-0.63,-0.3,1.42,1.86,2.24,,,0.58,0.36
CdTe,II-VI,M_A,Mg,,,-0.8,-0.51,-0.2,1.53,2.09,2.43,,,0.04,0.04
CdTe,II-VI,M_A,Ca,,,-0.7,-0.44,-0.13,1.63,2.08,2.48,,,0.73,0.73
CdTe,II-VI,M_A,Sr,,,-0.62,-0.39,-0.09,1.68,2.13,2.54,,,1.01,1.01
CdTe,II-VI,M_A,Ba,,,-0.57,-0.31,0,1.73,2.19,2.61,,,1.29,1.29
CdTe,II-VI,M_A,B,,,-0.96,-0.64,0.91,1.42,1.89,2.26,,,3.48,2.53
CdTe,II-VI,M_A,Al,,,-0.84,-0.52,1.16,1.63,2.04,2.49,,,0.84,1.03
CdTe,II-VI,M_A,Ga,,,-0.81,-0.49,0.97,1.39,1.95,2.31,,,0.95,0.83
CdTe,II-VI,M_A,In,,,-0.78,-0.49,1.09,1.61,2.05,2.51,,,0.88,0.72
CdTe,II-VI,M_A,Tl,,,-0.75,-0.43,0.65,1.18,2.01,2.41,,,1.14,0.67
CdTe,II-VI,M_A,C,,,-0.87,-0.21,0.08,1.4,1.77,2.17,,,5.71,4.76
CdTe,II-VI,M_A,Si,,,-0.81,0.31,0.6,1.61,2,2.38,,,2.24,1.29
CdTe,II-VI,M_A,Ge,,,-0.74,-0.11,0.27,1.61,2.03,2.4,,,1.37,0.6
