AB,Type,Defect,Atom,Site,,Transition Levels ->,(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Formation Energies ->,Delta_H (A-rich),Delta_H (B-rich)
BN,III-V,N_i_neut,N,M_i_neut,,,-2.39,-1.39,1,2.94,6.32,7.7,,,11.36,3.71
BP,III-V,V_B,V,M_A,,,-1.23,-0.49,0.07,0.59,1.13,1.73,,,4,3.19
BP,III-V,V_P,V,M_B,,,-1.18,-0.97,0.63,1.36,1.91,2.33,,,4.84,5.65
BP,III-V,B_P,B,M_B,,,-1.55,-1.01,-0.53,0,0.76,2.23,,,2.48,4.11
BP,III-V,P_B,P,M_A,,,-0.97,0.53,1.22,1.65,2.28,2.73,,,4.5,2.87
BP,III-V,B_i_A,B,M_i_A,,,-1.02,-0.27,1.07,1.75,2.26,2.69,,,6.76,7.57
BP,III-V,B_i_B,B,M_i_B,,,-0.97,-0.41,1.18,1.78,2.28,2.7,,,7.19,8
BP,III-V,B_i_neut,B,M_i_neut,,,-1.02,-0.31,0.83,1.51,2.08,2.63,,,6.11,6.92
BP,III-V,P_i_A,P,M_i_A,,,0.02,0.68,1.24,1.81,2.26,2.76,,,11.04,10.23
BP,III-V,P_i_B,P,M_i_B,,,0.12,0.75,1.2,1.65,2.17,2.66,,,11.62,10.81
BP,III-V,P_i_neut,P,M_i_neut,,,-1.37,-0.14,1.07,1.68,2.12,2.58,,,9.46,8.65
BAs,III-V,V_B,V,M_A,,,-1.31,-0.65,-0.1,0.34,0.82,1.39,,,2.36,2.29
BAs,III-V,V_As,V,M_B,,,-1.21,-0.84,0.41,1.08,1.59,2.18,,,5.46,5.53
BAs,III-V,B_As,B,M_B,,,-1.56,-1.12,-0.63,-0.2,0.53,2.06,,,2.4,2.55
BAs,III-V,As_B,As,M_A,,,-0.83,0.43,1.01,1.54,2.17,2.69,,,3.75,3.61
BAs,III-V,B_i_A,B,M_i_A,,,-1.03,-0.62,1,1.5,1.97,2.54,,,6.28,6.36
BAs,III-V,B_i_B,B,M_i_B,,,-1.01,-0.55,1.12,1.69,2.14,2.5,,,7.47,7.55
BAs,III-V,B_i_neut,B,M_i_neut,,,-0.92,-0.46,0.86,1.33,1.88,2.4,,,6.06,6.14
BAs,III-V,As_i_A,As,M_i_A,,,0.05,0.62,1.15,1.62,2.08,2.57,,,10.14,10.07
BAs,III-V,As_i_B,As,M_i_B,,,0.08,0.6,1.08,1.49,1.96,2.3,,,11.13,11.06
BAs,III-V,As_i_neut,As,M_i_neut,,,-1.22,-0.05,0.96,1.53,2,2.43,,,8.98,8.9
BSb,III-V,V_B,V,M_A,,,-1.12,-0.62,-0.2,0.16,0.51,0.98,,,0.99,1.7
BSb,III-V,V_Sb,V,M_B,,,-1.01,-0.77,0.04,0.6,0.98,1.5,,,5.9,5.19
BSb,III-V,B_Sb,B,M_B,,,-1.38,-1.03,-0.62,-0.28,0.33,1.38,,,2.87,1.46
BSb,III-V,Sb_B,Sb,M_A,,,-0.46,0.47,0.85,1.23,1.85,2.2,,,2.61,4.03
BSb,III-V,B_i_A,B,M_i_A,,,-1.08,-0.54,0.61,1.03,1.43,1.9,,,5.29,4.58
BSb,III-V,B_i_B,B,M_i_B,,,-1.02,-0.41,0.78,1.18,1.68,2.07,,,6.45,5.74
BSb,III-V,B_i_neut,B,M_i_neut,,,-0.83,-0.39,0.59,1.02,1.44,1.7,,,4.88,4.17
BSb,III-V,Sb_i_A,Sb,M_i_A,,,0.01,0.56,0.98,1.36,1.66,1.91,,,8.67,9.38
BSb,III-V,Sb_i_B,Sb,M_i_B,,,0.3,0.64,0.93,1.22,1.57,1.82,,,9.73,10.44
BSb,III-V,Sb_i_neut,Sb,M_i_neut,,,-1.17,0.45,0.79,1.24,1.53,1.83,,,7.96,8.67
AlN,III-V,V_Al,V,M_A,,,-1.73,-1.02,0.01,1.54,2.56,3.49,,,8.93,0.93
AlN,III-V,V_N,V,M_B,,,-0.19,0.13,3.16,3.91,4.64,5.45,,,2.87,10.87
AlN,III-V,Al_N,Al,M_B,,,0.75,1.5,2.95,3.64,4.48,5.39,,,8.5,24.51
AlN,III-V,N_Al,N,M_A,,,-1.98,0.55,0.92,2.22,4.75,6.25,,,12.72,-3.28
AlN,III-V,Al_i_A,Al,M_i_A,,,1.91,2.91,3.8,4.45,5.2,5.87,,,10.58,18.58
AlN,III-V,Al_i_B,Al,M_i_B,,,1.72,2.71,3.59,4.37,5.26,6.07,,,8.28,16.29
AlN,III-V,Al_i_neut,Al,M_i_neut,,,1.67,2.67,3.57,4.3,5.21,6.01,,,8.3,16.3
AlN,III-V,N_i_A,N,M_i_A,,,-1.05,-0.07,0.53,2.29,3.41,4.39,,,9.95,1.95
AlN,III-V,N_i_B,N,M_i_B,,,-1.88,1.31,1.31,2.4,3.23,4.1,,,11.8,3.79
AlN,III-V,N_i_neut,N,M_i_neut,,,-0.98,-0.18,1.53,3.01,4.83,5.63,,,7.67,-0.33
AlP,III-V,V_Al,V,M_A,,,-0.98,-0.53,-0.14,0.47,1.02,1.45,,,5.12,3.87
AlP,III-V,V_P,V,M_B,,,0.27,0.28,1.34,1.64,1.8,2.12,,,3.12,4.37
AlP,III-V,Al_P,Al,M_B,,,-0.21,0.06,0.76,1.25,1.73,2.79,,,3.14,5.65
AlP,III-V,P_Al,P,M_A,,,-0.94,0.55,1.03,1.91,2.51,2.9,,,4.28,1.78
AlP,III-V,Al_i_A,Al,M_i_A,,,0.05,0.63,1.83,2.3,2.7,2.98,,,3.65,4.91
AlP,III-V,Al_i_B,Al,M_i_B,,,0.6,1.13,1.66,2.21,2.61,2.95,,,3.82,5.07
AlP,III-V,Al_i_neut,Al,M_i_neut,,,0.19,1.08,1.55,2.1,2.52,2.92,,,4.53,5.78
AlP,III-V,P_i_A,P,M_i_A,,,0.23,0.65,1,1.67,2.13,2.55,,,5.86,4.61
AlP,III-V,P_i_B,P,M_i_B,,,0.38,0.82,1.11,1.55,1.88,2.22,,,6.21,4.96
AlP,III-V,P_i_neut,P,M_i_neut,,,-0.88,-0.05,1.48,1.86,2.27,2.9,,,5.41,4.15
AlAs,III-V,V_Al,V,M_A,,,-0.95,-0.55,-0.1,0.26,0.72,1.06,,,4.1,3.09
AlAs,III-V,V_As,V,M_B,,,0.16,0.16,0.94,1.2,1.33,1.49,,,3.16,4.17
AlAs,III-V,Al_As,Al,M_B,,,-0.41,-0.13,0.36,0.82,1.24,2.46,,,2.72,4.74
AlAs,III-V,As_Al,As,M_A,,,-0.76,0.09,0.62,1.77,2.33,2.57,,,3.2,1.18
AlAs,III-V,Al_i_A,Al,M_i_A,,,-0.2,0.3,1.64,2.06,2.39,2.74,,,3.29,4.3
AlAs,III-V,Al_i_B,Al,M_i_B,,,0.32,0.83,1.46,1.98,2.29,2.6,,,3.61,4.62
AlAs,III-V,Al_i_neut,Al,M_i_neut,,,0.11,0.83,1.33,1.88,1.97,2.86,,,4.2,5.21
AlAs,III-V,As_i_A,As,M_i_A,,,0.2,0.63,0.92,1.44,1.86,2.22,,,5.15,4.15
AlAs,III-V,As_i_B,As,M_i_B,,,0.29,0.68,0.97,1.32,1.61,1.91,,,5.7,4.69
AlAs,III-V,As_i_neut,As,M_i_neut,,,-0.81,-0.06,1.29,1.6,1.97,2.55,,,5,3.99
AlSb,III-V,V_Al,V,M_A,,,-0.92,-0.65,-0.28,0.06,0.34,0.69,,,2.65,2.29
AlSb,III-V,V_Sb,V,M_B,,,-0.9,-0.56,0.39,0.52,0.61,0.87,,,3.34,3.7
AlSb,III-V,Al_Sb,Al,M_B,,,-0.77,-0.41,-0.09,0.22,0.56,1.79,,,2.15,2.87
AlSb,III-V,Sb_Al,Sb,M_A,,,-0.56,0.12,0.6,1.37,1.73,2.02,,,2.01,1.29
AlSb,III-V,Al_i_A,Al,M_i_A,,,-0.59,-0.28,1.13,1.44,1.77,2.08,,,2.27,2.63
AlSb,III-V,Al_i_B,Al,M_i_B,,,-0.33,0.1,1.15,1.55,1.76,1.89,,,2.77,3.13
AlSb,III-V,Al_i_neut,Al,M_i_neut,,,-0.19,0.24,0.84,1.31,1.68,1.96,,,3.24,3.6
AlSb,III-V,Ab_i_A,Ab,M_i_A,,,0.14,0.54,0.82,1.16,1.49,1.78,,,4.15,3.79
AlSb,III-V,Sb_i_B,Sb,M_i_B,,,0.24,0.57,0.78,1.08,1.23,1.56,,,4.66,4.3
AlSb,III-V,Sb_i_neut,Sb,M_i_neut,,,1.36,1.65,2.79,3.05,3.41,3.68,,,4.07,3.71
GaN,III-V,V_Ga,V,M_A,,,-1.51,-0.89,-0.22,0.9,1.74,2.44,,,7.25,1.12
GaN,III-V,V_N,V,M_B,,,-0.44,-0.35,1.93,2.61,3.32,3.83,,,2.68,8.82
GaN,III-V,Ga_N,Ga,M_B,,,-0.06,0.48,1.46,2.14,2.79,4.13,,,5.63,17.9
GaN,III-V,N_Ga,N,M_A,,,-1.67,0.29,0.46,2.58,3.24,3.25,,,9.34,-2.92
GaN,III-V,Ga_i_A,Ga,M_i_A,,,0.83,1.43,2.6,3.42,4.36,5.07,,,9.3,15.43
GaN,III-V,Ga_i_B,Ga,M_i_B,,,1,1.91,3,3.55,4.28,5.06,,,8.65,14.79
GaN,III-V,Ga_i_neut,Ga,M_i_neut,,,-0.91,2.36,2.46,3.31,4.26,4.98,,,8.77,14.9
GaN,III-V,N_i_A,N,M_i_A,,,-1.19,-0.55,0.07,1.67,2.54,3.26,,,8.35,2.22
GaN,III-V,N_i_B,N,M_i_B,,,-0.98,-0.97,1.85,1.86,2.69,3.72,,,9.45,3.32
GaN,III-V,N_i_neut,N,M_i_neut,,,-1.25,0.57,1.67,1.69,3.47,4.4,,,8.05,1.92
GaP,III-V,V_Ga,V,M_A,,,-1.09,-0.73,-0.25,0.11,0.49,0.87,,,4.4,3.59
GaP,III-V,V_P,V,M_B,,,-0.03,-0.02,0.75,0.96,1.25,1.55,,,2.65,3.47
GaP,III-V,Ga_P,Ga,M_B,,,-0.58,-0.19,0.18,0.57,0.97,2.35,,,1.85,3.48
GaP,III-V,P_Ga,P,M_A,,,-0.85,0.42,0.82,1.65,2.16,2.52,,,3.57,1.94
GaP,III-V,Ga_i_A,Ga,M_i_A,,,-0.7,-0.21,1.53,1.93,2.36,2.64,,,3.55,4.36
GaP,III-V,Ga_i_B,Ga,M_i_B,,,-0.21,0.26,1.56,1.99,2.38,2.71,,,3.55,4.36
GaP,III-V,Ga_i_neut,Ga,M_i_neut,,,-0.19,0.41,1.3,1.76,2.21,2.52,,,4.49,5.31
GaP,III-V,P_i_A,P,M_i_A,,,0.09,0.54,0.87,1.37,1.75,2.09,,,6.16,5.35
GaP,III-V,P_i_B,P,M_i_B,,,0.18,0.68,1.31,1.59,2.07,2.46,,,6.01,5.2
GaP,III-V,P_i_neut,P,M_i_neut,,,-0.69,-0.36,1.42,1.71,2.04,2.4,,,5.16,4.35
GaAs,III-V,V_Ga,V,M_A,, ,-1.05,-0.79,-0.5,-0.18,0.02,0.34,,,3.23,2.53
GaAs,III-V,V_As,V,M_B,,,-0.03,-0.02,0.24,0.32,0.49,0.68,,,2.56,3.26
GaAs,III-V,Ga_As,Ga,M_B,,,-0.78,-0.42,-0.14,0.11,0.4,1.31,,,1.35,2.76
GaAs,III-V,As_Ga,As,M_A,,,-0.7,-0.15,0.29,1.01,1.52,1.75,,,2.65,1.23
GaAs,III-V,Ga_i_A,Ga,M_i_A,,,-0.66,-0.42,0.75,1.37,1.57,1.78,,,2.38,3.08
GaAs,III-V,Ga_i_B,Ga,M_i_B,,,-0.42,-0.11,0.84,1.41,1.63,1.8,,,2.62,3.32
GaAs,III-V,Ga_i_neut,Ga,M_i_neut,,,-0.36,0.06,0.77,1.2,1.54,1.78,,,3.53,4.24
GaAs,III-V,As_i_A,As,M_i_A,,,-0.05,0.4,0.66,0.95,1.22,1.45,,,5.06,4.35
GaAs,III-V,As_i_B,As,M_i_B,,,0.08,0.44,0.83,1.14,1.25,1.46,,,5.3,4.59
GaAs,III-V,As_i_neut,As,M_i_neut,,,-0.64,-0.37,0.74,1.19,1.44,1.67,,,4.46,3.75
GaSb,III-V,V_Ga,V,M_A,,,-0.89,-0.71,-0.47,-0.2,-0.02,0.3,,,2.02,1.68
GaSb,III-V,V_Sb,V,M_B,,,-0.06,-0.06,-0.06,-0.05,0.1,0.25,,,2.55,2.89
GaSb,III-V,Ga_Sb,Ga,M_B,,,-0.71,-0.56,-0.26,-0.11,0.2,0.76,,,0.77,1.45
GaSb,III-V,Sb_Ga,Sb,M_A,,,-0.39,0.03,0.39,0.75,1.13,1.28,,,1.98,1.3
GaSb,III-V,Ga_i_A,Ga,M_i_A,,,-0.59,-0.26,0.37,0.93,1.09,1.25,,,1.33,1.67
GaSb,III-V,Ga_i_B,Ga,M_i_B,,,-0.55,-0.19,0.47,1.02,1.18,1.31,,,1.65,1.99
GaSb,III-V,Ga_i_neut,Ga,M_i_neut,,,-0.39,-0.16,0.41,0.83,1.09,1.25,,,2.45,2.79
GaSb,III-V,Ab_i_A,Ab,M_i_A,,,-0.04,0.42,0.62,0.81,1.04,1.22,,,4.07,3.73
GaSb,III-V,Sb_i_B,Sb,M_i_B,,,0.1,0.4,0.73,0.99,1.17,1.33,,,4.42,4.08
GaSb,III-V,Sb_i_neut,Sb,M_i_neut,,,-0.38,-0.22,0.44,0.95,1.09,1.25,,,3.75,3.4
InN,III-V,V_In,V,M_A,,,-0.91,-0.53,0,0.55,1.11,1.45,,,6.23,1.19
InN,III-V,V_N,V,M_B,,,-0.06,-0.05,0.73,1.24,1.92,2.29,,,1.32,6.35
InN,III-V,In_N,In,M_B,,,0.36,0.79,1.07,1.6,1.93,2.4,,,4.45,14.52
InN,III-V,N_In,N,M_A,,,-1.07,0.06,0.78,1.09,1.59,2.45,,,7.77,-2.3
InN,III-V,In_i_A,In,M_i_A,,,0.3,0.9,1.8,2.16,2.53,2.85,,,5.77,10.81
InN,III-V,In_i_B,In,M_i_B,,,0.15,0.75,1.62,2,2.49,2.84,,,4.66,9.69
InN,III-V,In_i_neut,In,M_i_neut,,,0.11,0.72,1.44,2.1,2.45,2.8,,,4.52,9.56
InN,III-V,N_i_A,N,M_i_A,,,-0.87,-0.45,-0.08,1.02,1.55,2.03,,,5.73,0.7
InN,III-V,N_i_B,N,M_i_B,,,-0.25,-0.25,0.02,1.09,1.52,2.14,,,6.16,1.13
InN,III-V,N_i_neut,N,M_i_neut,,,-0.68,-0.49,0.73,1.24,1.24,2.43,,,6,0.96
InP,III-V,V_In,V,M_A,,,-0.83,-0.59,-0.27,0.01,0.32,0.52,,,4.32,3.87
InP,III-V,V_P,V,M_B,,,0.3,0.3,0.63,0.78,0.99,1.23,,,2.12,2.57
InP,III-V,In_P,In,M_B,,,-0.1,0.16,0.41,0.72,1.01,1.94,,,2.07,2.99
InP,III-V,P_In,P,M_A,,,-0.71,0.28,0.58,1.39,1.72,2,,,2.72,1.8
InP,III-V,In_i_A,In,M_i_A,,,-0.17,0.23,1.34,1.7,1.97,2.31,,,3.19,3.65
InP,III-V,In_i_B,In,M_i_B,,,0.19,0.54,1.33,1.71,1.98,2.34,,,3.14,3.59
InP,III-V,In_i_neut,In,M_i_neut,,,0.15,0.58,1.28,1.65,1.93,2.15,,,4.12,4.57
InP,III-V,P_i_A,P,M_i_A,,,0.15,0.46,0.65,1.14,1.48,1.73,,,4.79,4.33
InP,III-V,P_i_B,P,M_i_B,,,0.31,0.64,1.28,1.39,1.76,2.1,,,4.53,4.07
InP,III-V,P_i_neut,P,M_i_neut,,,-0.38,-0.11,1.17,1.53,1.85,2.17,,,3.74,3.29
InAs,III-V,V_In,V,M_A,,,-0.83,-0.59,-0.35,-0.11,0.1,0.39,,,3.38,2.87
InAs,III-V,V_As,V,M_B,,,0.28,0.28,0.29,0.42,0.59,0.78,,,2.05,2.56
InAs,III-V,In_As,In,M_B,,,-0.26,-0.02,0.22,0.45,0.68,1.36,,,1.58,2.6
InAs,III-V,As_In,As,M_A,,,-0.59,-0.17,0.19,0.93,1.23,1.51,,,2.06,1.04
InAs,III-V,In_i_A,In,M_i_A,,,-0.38,-0.06,0.84,1.15,1.44,1.79,,,2.16,2.67
InAs,III-V,In_i_B,In,M_i_B,,,-0.12,0.22,0.82,1.16,1.4,1.78,,,2.16,2.67
