,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
500,II-VI,M_i_B,In,CdTe,1.385714,1.4005091980021238,0.019208849610036088
501,IV-IV,M_i_neut,Tl,GeSn,0.6,0.3968949613398528,0.027128136603528814
502,II-VI,M_i_neut,Cd,CdTe,1.116185,1.1123890567834493,0.015502628592097386
503,II-VI,M_i_B,Ti,ZnTe,1.54375,1.4076767063158124,0.014786728299490045
504,II-VI,M_A,Br,CdTe,0.642649,0.40617274013250537,0.05987022907619652
505,II-VI,M_i_B,Cd,CdSe,1.421344,1.2250024690748393,0.020161046542341077
506,IV-IV,M_A,Li,Si,0.070806,-0.1639623914195047,0.06081573840926497
507,II-VI,M_A,Sn,ZnS,1.172267,1.444807174914588,0.06453753215162426
508,III-V,M_B,Au,BAs,0.315591,0.4168224233827086,0.07741937411989105
509,III-V,M_i_A,O,InSb,-0.27770700000000004,-0.28892502424470046,0.046319736259829145
510,IV-IV,M_i_neut,Fe,SiC,0.796856,1.6743555215489931,0.031642134892908375
511,II-VI,M_B,Ge,ZnTe,-0.064097,0.3747913953302361,0.026881668240740657
512,II-VI,M_i_neut,O,CdTe,-0.16979,0.11925405486004884,0.03038037036879086
513,II-VI,M_i_A,Cd,CdSe,1.17573,1.2252382056721793,0.0218037427178185
514,II-VI,M_i_A,Au,ZnSe,1.442715,1.350467567072291,0.041427650136342135
515,II-VI,M_i_neut,Te,CdTe,0.897797,0.9455346221193842,0.022561186040117313
516,II-VI,M_i_B,Br,CdTe,0.07162,0.5224623927380854,0.04277040052387589
517,II-VI,M_i_A,S,CdTe,0.066756,0.6125587959463242,0.020056248465226266
518,II-VI,M_i_neut,As,CdTe,1.239024,0.9889068564516557,0.01656667402314966
519,IV-IV,M_A,Os,GeSn,-0.18391300000000002,-0.6687931433032392,0.05292676367970296
520,IV-IV,M_i_neut,K,GeSn,0.199495,0.3409972603015528,0.035986192649121826
521,II-VI,M_A,I,CdTe,0.8219290000000001,0.5525198938393241,0.04560821725284113
522,II-VI,M_i_A,Se,CdTe,0.286521,0.7455996048792255,0.020507245694337827
523,II-VI,M_i_A,Se,CdSe,0.55224,0.7964068947190092,0.023068255255629957
524,III-V,M_i_A,Rb,GaSb,0.46153999999999995,0.7730204753191753,0.05182618393696228
525,II-VI,M_i_A,O,CdTe,-0.230473,0.11827193829379326,0.02942316435322481
526,IV-IV,M_B,Y,SiSn,-0.280893,-0.04717700618370243,0.03407501020663068
527,II-VI,M_i_A,Rb,CdTe,1.407627,1.4422272788101491,0.03074644705064156
528,II-VI,M_A,Ir,CdTe,0.22270900000000002,0.26351661348028466,0.03185548595596969
529,IV-IV,M_A,Rb,Sn,0.209855,-0.07644854823797788,0.05728550792826508
530,II-VI,M_A,B,CdO,0.293576,0.4827980949739599,0.0423655062293527
531,II-VI,M_i_neut,S,CdTe,0.441146,0.6146076816589761,0.01761182124852758
532,IV-IV,M_i_A,K,Ge,0.18479500000000001,0.4783182857215353,0.03374411967464667
533,IV-IV,M_i_B,Co,GeSn,0.068024,0.008671007220821703,0.01319317659496247
534,III-V,M_B,V,BP,-0.41982600000000003,-0.025256972786854015,0.06271123879382258
535,II-VI,M_B,N,CdTe,-0.3731,-0.36658034198614387,0.04315758613780738
536,III-V,M_A,Hf,AlP,1.497565,1.1181925539072934,0.05666148420112996
537,II-VI,M_i_neut,Se,CdSe,0.841843,0.7941452292310279,0.023861862446317505
538,II-VI,M_i_neut,Se,CdTe,0.632119,0.7434055252757117,0.0204401013757861
539,II-VI,M_A,Se,CdS,1.014925,0.837445721294434,0.03876628314860568
540,II-VI,M_i_A,In,CdTe,1.4065530000000002,1.4055166331672535,0.018439201894253195
541,IV-IV,M_i_neut,Ag,Si,0.584387,0.5231665796499785,0.028089493381689437
542,II-VI,M_B,Ni,ZnSe,-0.09450399999999999,0.7193977913286107,0.04760226569244111
543,II-VI,M_i_B,Zn,CdTe,1.005749,1.0258901029638912,0.012996266195994314
544,III-V,M_i_A,Cu,BAs,1.072101,0.6783882518244867,0.03336628747719455
545,II-VI,M_i_B,Cd,CdTe,1.148461,1.1142265375556921,0.01586444362565104
546,IV-IV,M_i_A,P,GeSn,0.24626900000000002,0.17698178171540432,0.026815881373338665
547,IV-IV,M_A,Ga,GeC,-0.415133,0.5797037348892466,0.05848116876832408
548,III-V,M_i_neut,Ti,GaP,1.319338,1.2680380308158408,0.03318333303414415
549,IV-IV,M_i_B,In,SiSn,0.560045,0.6879475654107143,0.021783327452378678
550,III-V,M_i_B,Pt,InSb,-0.017359,-0.2039710665502401,0.050069068187424015
551,II-VI,M_i_neut,Ni,CdTe,0.442417,0.5453974288141747,0.027256903703680564
552,II-VI,M_A,Se,CdTe,0.650758,0.39848703932115986,0.029966395828614704
553,III-V,M_A,Cd,BSb,0.05912100000000001,0.4183579353561882,0.08145408666739787
554,II-VI,M_i_B,Ga,CdTe,1.32677,1.3668473753444557,0.018646917881046523
555,II-VI,M_i_B,K,CdTe,1.4043139999999998,1.3659300528116227,0.02019182153649475
556,IV-IV,M_B,Li,SiSn,-0.348149,-0.48209214394963384,0.04622407150797554
557,II-VI,M_i_B,Cl,CdTe,-0.034827,0.4005004183588626,0.0464043935120615
558,III-V,M_i_A,Pb,InAs,0.9796799999999999,0.7924411227899153,0.022144532184539784
559,II-VI,M_B,Au,CdTe,1.0051729999999999,0.36554597798675,0.05108665002695323
560,II-VI,M_i_B,Tl,CdTe,1.417684,1.3180293861743255,0.02267876347809089
561,II-VI,M_i_A,Cu,CdTe,1.068645,1.0336089558356854,0.024286209576503043
562,III-V,M_A,Hf,GaAs,0.7118979999999999,0.8044230986929278,0.03728175707275976
563,II-VI,M_i_A,Zn,CdTe,0.545025,1.0253556522756786,0.011957287139724779
564,IV-IV,M_i_neut,Sc,SiSn,0.7290979999999999,0.6357296318459036,0.026128976407793613
565,II-VI,M_i_neut,Pt,CdTe,0.191907,0.32802339103633504,0.035190701312307004
566,III-V,M_B,Cu,GaP,0.582461,0.7401908571570839,0.04590014202431824
567,II-VI,M_A,La,CdTe,1.326239,0.680636294464092,0.03204674231605064
568,IV-IV,M_i_A,Be,SiGe,0.349659,0.5418780179813178,0.05219688170786415
569,IV-IV,M_i_A,Mg,SiGe,0.689176,0.7386512259632052,0.043729055599323455
570,II-VI,M_i_A,Cd,CdTe,0.8660629999999999,1.1123482009101937,0.016288559486795074
571,II-VI,M_B,Bi,CdTe,-0.025087,0.49622928107489683,0.04229220612126794
572,II-VI,M_A,Pt,ZnSe,0.305296,0.2031991882652604,0.05849179665420637
573,II-VI,M_i_A,Ga,CdTe,1.3622299999999998,1.3660110038508755,0.018979322564295287
574,II-VI,M_i_neut,Pt,ZnTe,0.120761,0.3305891168637276,0.039240121776455375
575,II-VI,M_A,B,CdTe,0.9165110000000001,0.37463493114699736,0.039844988578470346
576,II-VI,M_i_A,Br,CdTe,-0.09019500000000001,0.5284147342289426,0.04618969046313438
577,II-VI,M_i_neut,Br,CdTe,-0.045716,0.5189242430792821,0.044582021426164395
578,IV-IV,M_i_B,Cr,SiC,1.374509,1.7578450041468698,0.03360002101023904
579,II-VI,M_i_A,Ni,CdO,0.920568,0.6652785289438248,0.043607278078055846
580,III-V,M_i_neut,Se,InSb,0.412288,0.3401763872904504,0.03211744787248706
581,IV-IV,M_i_A,Be,Si,0.499669,0.43587416139152646,0.05661314860086859
582,II-VI,M_i_neut,Cl,CdTe,0.047437,0.3918483662929569,0.041529198771542535
583,II-VI,M_A,Rh,CdTe,0.055937,0.3504630687801413,0.03003109530952092
584,IV-IV,M_i_B,Al,SiSn,0.507918,0.4898041280901445,0.026061606624044224
585,III-V,M_B,Se,BP,1.049541,0.7049717620553801,0.07525685639982614
586,III-V,M_i_neut,F,AlSb,1.556921,-0.07161337896524775,0.058988357451849494
587,IV-IV,M_i_neut,Rh,Sn,-0.021313,0.18992208803199664,0.025325245549292778
588,IV-IV,M_B,Y,GeSn,-0.18646300000000002,-0.243018623583065,0.03552491687151456
589,III-V,M_i_neut,Zn,GaAs,0.5441739999999999,0.7476646050553366,0.030741530905050645
590,II-VI,M_i_A,K,CdSe,1.347544,1.3999930903301034,0.025612172002317222
591,IV-IV,M_i_A,Si,Sn,0.22876799999999997,0.3617656307865249,0.030743616976487614
592,II-VI,M_A,B,ZnSe,1.581028,0.7683561567906866,0.041982459814261776
593,IV-IV,M_i_neut,Bi,Sn,0.081196,0.707371327741071,0.026504358667521592
594,III-V,M_B,Zn,InAs,0.23007600000000003,0.2794076082617833,0.03142240256988763
595,II-VI,M_i_neut,Hg,CdTe,0.72649,1.059936001121622,0.027212345042798902
596,IV-IV,M_i_neut,Sn,Sn,0.07631,0.5234221493140657,0.025432052770627923
597,IV-IV,M_i_A,Co,Sn,-0.09174700000000001,0.15228305229729455,0.024004806001203947
598,III-V,M_B,F,InP,0.572476,-0.24203213019717854,0.0614388357435201
599,II-VI,M_A,Se,CdSe,0.816919,0.46881218410923375,0.03137983259511695
600,II-VI,M_A,Cs,CdTe,0.128521,0.742196463641946,0.04159822159899009
601,II-VI,M_A,Tc,CdTe,0.240096,0.6239083146009963,0.028988243889688407
602,III-V,M_i_A,Li,InN,0.836944,1.3132424890119423,0.06735479739675654
603,IV-IV,M_i_neut,Pt,Ge,0.0014349999999999999,-0.16037896535327606,0.054295166118815415
604,II-VI,M_i_B,Pd,ZnSe,0.11641800000000001,0.7933087269015461,0.036725823484389006
605,II-VI,M_A,Rb,CdO,-0.09638300000000001,0.5940346866989865,0.04012573285746375
606,III-V,M_A,Se,GaSb,0.377979,0.15527845906122575,0.02737787242703711
607,IV-IV,M_A,Tl,Si,-0.015844,0.11526401719927512,0.04094114455843347
608,II-VI,M_i_B,Fe,ZnSe,1.813881,1.482125452833491,0.018783855772688037
609,II-VI,M_i_B,Cu,CdTe,1.2480639999999998,1.0304133456643856,0.026122091092648653
610,II-VI,M_A,Ta,CdTe,1.111069,0.6311555850048529,0.034118045329037325
611,II-VI,M_i_B,Ag,ZnTe,1.5775139999999999,1.155621028628835,0.02978561324748502
612,II-VI,M_A,As,ZnSe,1.7324560000000002,0.7139325924916553,0.04651789656716455
613,III-V,M_B,S,AlSb,0.868124,0.4072289647338459,0.0641887357357276
614,II-VI,M_A,Te,CdTe,0.901099,0.5439909669436511,0.026967752884825395
615,II-VI,M_i_A,K,CdTe,1.378327,1.3663771653820205,0.02011851281562764
616,II-VI,M_i_A,Tl,CdTe,1.412232,1.3185866626006117,0.02327564807562259
617,II-VI,M_A,P,CdTe,1.09569,0.38980849105304466,0.02497992679158609
618,II-VI,M_A,Pt,CdTe,0.078261,-0.040804166418003565,0.05132353110291814
619,III-V,M_i_neut,Be,InN,1.063676,1.3055824947828092,0.049168685425538594
620,II-VI,M_B,F,CdTe,0.8224370000000001,-0.5787465330129716,0.050861792849319735
621,II-VI,M_i_neut,Cu,CdTe,1.288514,1.0263132039136864,0.024084369866271084
622,II-VI,M_i_A,Au,CdSe,1.014,1.2458707646951652,0.04183781005630082
623,III-V,M_i_B,Ag,GaAs,0.7485149999999999,0.7894812466597656,0.03621238718465468
624,IV-IV,M_A,S,Ge,0.141585,-0.4288630355113021,0.048236604730625014
625,III-V,M_i_A,Tl,InAs,0.8363520000000001,0.7586743444667542,0.02657921699978492
626,IV-IV,M_A,Ir,GeSn,-0.112344,-0.6078451775433814,0.04697228584878225
627,II-VI,M_i_B,F,CdTe,-0.194166,-0.251656017236901,0.05871383966638675
628,IV-IV,M_B,Rh,SiSn,-0.225867,-0.27414411067497796,0.03242619841237715
629,II-VI,M_i_neut,F,CdTe,-0.203043,-0.24348963233128146,0.05866799047642364
630,II-VI,M_i_neut,Na,CdTe,1.363834,1.3127792464547654,0.020481538135251935
631,II-VI,M_A,Y,CdTe,1.3336940000000002,0.6630067609073171,0.026690985208070964
632,II-VI,M_i_A,Pd,CdTe,0.050714999999999996,0.45716482098152406,0.03917577914531959
633,II-VI,M_i_B,Pd,CdSe,0.236715,0.6202450657510592,0.03857471631102762
634,II-VI,M_i_B,Hg,CdTe,0.629344,1.0600761393310427,0.021830185363976778
635,IV-IV,M_i_neut,Ge,Sn,0.011614,0.4245781022518562,0.024222267737487264
636,II-VI,M_i_B,Au,CdTe,1.078239,1.1118517096378167,0.04500715043421237
637,IV-IV,M_i_neut,Zn,Ge,0.282546,0.4965245362606696,0.021658418205336285
638,II-VI,M_i_A,Au,CdTe,0.762137,1.1062305183707442,0.03886621771750134
639,II-VI,M_A,Rb,CdTe,0.050169,0.7001794681973994,0.04378497614398441
640,IV-IV,M_B,Ag,SiGe,-0.101719,0.3184811487273266,0.04385182029554452
641,II-VI,M_i_A,Fe,CdSe,1.260011,1.2247342339992546,0.020660130907538408
642,II-VI,M_i_A,Cl,CdTe,-0.167622,0.4023454665340783,0.04488734048835175
643,IV-IV,M_i_A,Mg,Ge,0.501657,0.5143862522080347,0.04296574992741439
644,II-VI,M_A,Ti,CdTe,0.637412,0.6100610475576247,0.02404657305945242
645,II-VI,M_i_neut,Au,CdTe,1.197807,1.1139660823603585,0.04430877183417634
646,II-VI,M_i_B,Pd,CdTe,0.057481,0.45554568397382883,0.036220462732203536
647,III-V,M_A,Al,BAs,-0.077153,0.5559919851266235,0.06225268384816328
648,III-V,M_i_A,F,GaAs,-0.445064,-0.5825190649159863,0.04703340606727827
649,IV-IV,M_i_neut,Pd,SiGe,-0.09487999999999999,0.027021208933942296,0.045842307958571964
650,II-VI,M_i_neut,F,ZnSe,-0.269493,-0.4246813019021756,0.046196724127385555
651,II-VI,M_A,Sc,CdTe,1.223475,0.584925160392811,0.025440877155300586
652,II-VI,M_B,Br,ZnSe,1.8792,0.422051814219451,0.04809349006746649
653,II-VI,M_i_A,Ag,CdTe,1.2098719999999998,1.0565229264617526,0.030856157655512004
654,II-VI,M_A,Ni,CdTe,-0.044579,-0.12291563194881668,0.046746869336908435
655,II-VI,M_i_neut,Ag,CdTe,1.326777,1.0561220055212324,0.03032043000528965
656,IV-IV,M_i_A,F,GeSn,-0.22471799999999997,-0.639071355195141,0.055243438851601455
657,II-VI,M_i_A,Hg,CdTe,0.311663,1.0584061501748476,0.02489650583684925
658,II-VI,M_A,V,CdTe,0.6720659999999999,0.6404137946718015,0.02442491408295553
659,III-V,M_i_neut,Li,GaP,1.495276,1.2791518828586537,0.05616092698042606
660,II-VI,M_A,Pd,CdTe,-0.039359,-0.19359778134566588,0.0506919473307762
661,IV-IV,M_i_neut,Sc,GeSn,1.039631,0.4449581432288223,0.020927865076632184
662,II-VI,M_A,In,CdS,1.498041,1.310399633282202,0.03773582880632949
663,II-VI,M_A,Bi,CdTe,1.359298,0.7806048829273242,0.040251229579404545
664,II-VI,M_i_B,Ag,CdTe,1.298024,1.057361348522562,0.0325947669072944
665,II-VI,M_i_neut,Pd,CdTe,0.078704,0.4521765147183718,0.03592723545781914
666,II-VI,M_A,As,CdTe,1.198505,0.40933095111160755,0.024135139989268514
667,II-VI,M_A,K,CdTe,-0.056704,0.6014970740548786,0.04229327147968974
668,II-VI,M_i_B,Na,CdTe,1.3180479999999999,1.3153185615369476,0.02160679458565338
669,II-VI,M_i_neut,Li,CdTe,1.307194,1.315489719600747,0.03611938761245414
670,III-V,M_B,S,GaSb,0.21203699999999998,-0.0939127285010086,0.044125492266588746
671,II-VI,M_A,V,CdS,1.3044870000000002,1.2412349144960946,0.03727722430477929
672,IV-IV,M_i_A,Au,GeSn,0.05923,0.4154633214797978,0.03307877932683438
673,II-VI,M_i_neut,Ag,CdSe,1.2083840000000001,1.2030063143510248,0.034013667318390894
674,II-VI,M_B,P,CdTe,-0.26656599999999997,0.1724376265383701,0.0300787486518053
675,III-V,M_A,Pd,InSb,-0.252601,-0.7261740940162944,0.046586942803909806
676,II-VI,M_i_A,F,CdSe,-0.24305100000000002,-0.20451949008257014,0.04971866758300614
677,II-VI,M_i_A,Li,CdTe,1.2878370000000001,1.3112486131590835,0.04843791776022246
678,II-VI,M_i_A,Na,CdTe,1.320665,1.3165278597603143,0.01985744355420227
679,II-VI,M_A,Fe,CdTe,0.259971,0.48885411460357336,0.024333450903318277
680,IV-IV,M_A,Sc,SiGe,-0.22999699999999998,0.0537447482561342,0.05282455333435184
681,II-VI,M_B,Cl,CdTe,1.191187,-0.09069378340485008,0.056777785612083805
682,II-VI,M_B,As,CdTe,-0.234015,0.24400164118733567,0.025979789969151075
683,II-VI,M_A,Al,ZnSe,1.807005,1.018080639416929,0.04866964312446476
684,III-V,M_A,Ca,InAs,-0.191658,0.33724240665877103,0.046403702966442625
685,III-V,M_A,Be,BP,-0.45611999999999997,0.729681733254267,0.07743856730720407
686,II-VI,M_A,Cr,CdTe,0.14960199999999998,0.5942629949425465,0.025178712496061177
687,II-VI,M_A,Co,CdTe,-0.23315,0.1936538697630832,0.02885759489411018
688,II-VI,M_B,O,CdTe,-0.303141,-0.2937167735410859,0.051820847251165404
689,II-VI,M_B,Br,CdTe,1.242809,0.05438549421320822,0.057017761207300954
690,II-VI,M_i_B,Li,CdTe,1.29833,1.303927393929976,0.04889883947164728
691,II-VI,M_B,I,CdS,1.7076959999999999,0.744086365927294,0.048085396407788576
692,IV-IV,M_B,Pt,SiGe,-0.128364,-0.29618010498455527,0.06067108029686914
693,IV-IV,M_A,Ag,SiSn,-0.040001999999999996,-0.08467729937409327,0.04796736740791771
694,II-VI,M_A,Hg,ZnO,-0.2024,0.8857030548285165,0.059474850930260934
695,IV-IV,M_A,Se,Ge,0.202956,-0.3932948061683998,0.047562049541692554
696,II-VI,M_B,Br,CdS,1.647145,0.5620940594202697,0.05831105592058256
697,II-VI,M_A,Ba,CdTe,0.002034,0.7185796207865813,0.037516390978107286
698,II-VI,M_B,I,CdTe,1.285332,0.19579282792059843,0.0480855219930682
699,IV-IV,M_A,B,SiSn,-0.461766,-0.5835264322856213,0.05068153865520847
700,II-VI,M_A,Si,CdTe,0.602237,0.42777319098730626,0.024762844443444277
701,IV-IV,M_i_B,Ga,GeSn,0.181705,0.43748123935483135,0.029110786250471227
