,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
198,II-VI,M_B,B,CdTe,-0.236839,0.34246578996771426,0.03514967608825186
199,II-VI,M_B,Be,CdTe,0.27786900000000003,0.6555875934360086,0.03337742553618568
200,III-V,M_i_neut,W,GaSb,0.331924,0.2529803575756285,0.039707763576963005
201,II-VI,M_i_A,Zn,ZnS,1.717066,1.8678093336374952,0.035154775219894185
202,II-VI,M_A,Zr,CdS,1.753384,1.2303242152012708,0.03339543437936652
203,II-VI,M_B,Li,ZnTe,1.122387,1.004104169026586,0.037003506231447575
204,II-VI,M_i_neut,Ba,CdTe,1.581995,1.646877579309003,0.01819251526659708
205,II-VI,M_i_neut,As,CdS,1.6940990000000002,1.4807920443752987,0.027550954377306938
206,III-V,M_B,Hf,InSb,-0.107366,-0.014907285962338257,0.03923202783776937
207,II-VI,M_i_B,Mo,CdTe,1.301108,0.8952848352626193,0.01554711804749871
208,II-VI,M_i_A,Ta,CdTe,1.433051,1.0803052915373514,0.020291794103741757
209,III-V,M_i_A,Cl,GaP,-0.114933,0.5614145130818469,0.04216607578620407
210,IV-IV,M_i_neut,La,Ge,0.496122,0.6205779515312324,0.03461783478326224
211,II-VI,M_B,Mg,CdTe,0.9188620000000001,0.8947286136427032,0.03363295685937547
212,II-VI,M_B,Mn,CdTe,0.6133350000000001,0.5752123432859723,0.02178527975484919
213,II-VI,M_i_B,B,CdSe,1.509491,1.2418002849666483,0.02807586976256002
214,IV-IV,M_B,Rh,SiC,1.9177830000000002,1.2508156878538155,0.0522130822281551
215,II-VI,M_i_A,La,CdTe,1.597092,1.5489734345605402,0.027294247839293184
216,II-VI,M_i_neut,Os,CdTe,0.731474,0.7724360519311233,0.022340569337110077
217,IV-IV,M_B,Rb,SiGe,0.454872,0.2424645282476674,0.04416410924824901
218,II-VI,M_B,Cs,CdTe,1.621665,1.0224357240049442,0.037122401708419996
219,III-V,M_i_B,Zr,InN,1.723889,1.6506459244983631,0.045898659147655806
220,II-VI,M_B,Si,CdSe,0.270304,0.7168771000023495,0.039076416197044155
221,II-VI,M_B,Ir,CdTe,-0.22928800000000002,0.097206718869574,0.03440737393857258
222,II-VI,M_i_B,Ti,CdTe,1.378543,1.2262702421640455,0.014500655361462134
223,II-VI,M_i_A,B,CdTe,1.078368,1.0859233932132013,0.0291557044890259
224,III-V,M_i_neut,Ir,InP,0.568759,0.8334014079563478,0.03322333708648519
225,II-VI,M_i_B,Ru,CdTe,1.048505,0.9361387275801674,0.02076570317669702
226,II-VI,M_i_neut,I,ZnSe,0.830958,0.7888803838753911,0.03385927496569642
227,IV-IV,M_i_neut,Zr,Ge,0.366151,0.4586255541400301,0.02459837395672554
228,II-VI,M_i_A,Y,CdTe,1.571849,1.5473145056269244,0.019350661663580775
229,II-VI,M_i_B,Sc,CdTe,1.590878,1.4803204719951542,0.019073301492807213
230,III-V,M_i_B,In,AlAs,1.5504229999999999,1.269232793175713,0.020892180907386093
231,II-VI,M_i_neut,B,CdTe,0.8995690000000001,1.084465884095383,0.029008668258645582
232,III-V,M_i_B,Os,GaSb,0.206617,0.15582540360094427,0.03275845810562234
233,II-VI,M_i_neut,Ti,CdTe,1.379246,1.228798556783953,0.011810093008790908
234,II-VI,M_B,Tl,ZnSe,1.158393,1.4650740463762628,0.0378523713317592
235,IV-IV,M_i_neut,Rb,SiSn,0.7475569999999999,0.5791555878625733,0.04446000514684488
236,II-VI,M_i_neut,Cd,CdS,1.655125,1.631011666804867,0.029151842531124673
237,IV-IV,M_i_B,As,SiGe,0.529632,0.7684495842278223,0.022490977254148486
238,II-VI,M_A,C,CdSe,0.462433,0.18106614902357127,0.03618469004438294
239,III-V,M_i_B,Zn,BSb,0.730484,0.425062331947473,0.0320214973483532
240,II-VI,M_i_neut,Sr,CdTe,1.580233,1.607670221763898,0.02237347036408152
241,II-VI,M_i_A,Bi,CdSe,1.530718,1.43261410062128,0.02299523144081083
242,II-VI,M_i_neut,K,CdO,0.7744840000000001,1.2601935710979455,0.03361975641505725
243,II-VI,M_i_A,Sc,CdTe,1.47474,1.4807832311240339,0.01950244236166147
244,II-VI,M_i_B,Ba,CdTe,1.645039,1.6445307388195602,0.01715663682401875
245,II-VI,M_B,Li,CdTe,1.0199559999999999,0.7893533422339598,0.036186193179825375
246,II-VI,M_i_B,Rh,CdTe,0.583974,0.8908526811526061,0.016193442069458025
247,IV-IV,M_i_B,P,SiGe,0.419203,0.5747319018613404,0.026231308681548788
248,II-VI,M_i_A,Cu,ZnO,1.3864049999999999,1.5525649695206287,0.03281948520405233
249,II-VI,M_i_neut,Se,ZnS,1.1384020000000001,1.2986330861352755,0.04214848728703373
250,II-VI,M_i_A,Rh,CdTe,0.711322,0.8951184046958,0.017309649838848237
251,II-VI,M_i_B,Br,CdO,0.404114,0.4344311039937315,0.05039862944078742
252,II-VI,M_i_B,B,CdTe,1.228173,1.0852274108364373,0.025917033401897147
253,IV-IV,M_i_B,N,GeC,0.218914,0.38478133023115957,0.06009092610870923
254,II-VI,M_i_neut,Ru,CdTe,0.84921,0.934897958613343,0.018779681268290913
255,II-VI,M_i_A,Ru,CdTe,0.453823,0.9378146596590948,0.02050776459480887
256,IV-IV,M_i_A,Tl,SiGe,0.760846,0.7968887152697474,0.024623891062445828
257,II-VI,M_i_B,Te,CdS,1.2173200000000002,1.3622910546593938,0.033487877228506435
258,II-VI,M_i_B,Tc,CdTe,1.300757,0.9568919086824632,0.014724680588118207
259,II-VI,M_A,C,CdTe,0.088785,0.04423939001046062,0.035408474704079373
260,II-VI,M_i_A,Tc,CdTe,0.893128,0.9564513309133709,0.015764439231333374
261,III-V,M_i_B,Cd,GaP,1.5229780000000002,1.3469439826276317,0.031580541956509625
262,II-VI,M_B,Na,CdTe,1.2660129999999998,0.834904093790016,0.03431001132939654
263,II-VI,M_i_A,Li,ZnS,2.5365849999999996,2.2162722358172386,0.05037445179785651
264,III-V,M_i_B,B,AlSb,0.9802350000000001,0.6881671825176164,0.038441442542440765
265,II-VI,M_i_B,Mn,ZnS,2.388486,1.989864447210815,0.03319426889931936
266,III-V,M_B,Os,AlSb,-0.336323,0.1403109888565194,0.06722521022991276
267,III-V,M_i_neut,In,InN,1.586934,1.638566272957113,0.036288851438592576
268,III-V,M_i_A,Mn,BSb,0.343512,0.19364228059221097,0.039962132771929046
269,II-VI,M_i_A,Cd,CdS,1.555332,1.6312376365672947,0.026424839343861948
