Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_B,Re,0,1.203831684,0.033253974
II-VI,CdO,M_B,Os,0,0.892361322,0.102109131
II-VI,CdO,M_B,Ir,0,0.871786625,0.087799951
II-VI,CdO,M_B,Pt,0,0.881862423,0.088943239
II-VI,CdO,M_B,Au,0,0.855505327,0.080576315
II-VI,CdO,M_B,Hg,0,0.884352498,0.107430088
II-VI,CdO,M_B,Ce,0,0.889487191,0.112270839
II-VI,CdO,M_B,Pr,0,0.889752944,0.112387454
II-VI,CdO,M_B,Nd,0,0.885277007,0.114670386
II-VI,CdO,M_B,Pm,0,0.886907202,0.115025565
II-VI,CdO,M_B,Sm,0,0.869585134,0.117327057
II-VI,CdO,M_B,Eu,0,0.879412742,0.117674486
II-VI,CdO,M_B,Gd,0,0.891059903,0.115278886
II-VI,CdO,M_B,Tb,0,0.88954016,0.113390082
II-VI,CdO,M_B,Dy,0,0.888488857,0.113062278
II-VI,CdO,M_B,Ho,0,0.888102272,0.113504632
II-VI,CdO,M_B,Er,0,0.885294567,0.114774465
II-VI,CdO,M_B,Tm,0,0.886530534,0.11057046
II-VI,CdO,M_B,Yb,0,0.888250913,0.122565569
II-VI,CdO,M_B,Lu,0,0.894530588,0.112219069
II-VI,CdO,M_i_A,Li,0,1.193267302,0.053233717
II-VI,CdO,M_i_A,Na,0,1.182540201,0.053087158
II-VI,CdO,M_i_A,K,0,1.139868519,0.062459036
II-VI,CdO,M_i_A,Rb,0,1.188624313,0.046445304
II-VI,CdO,M_i_A,Cs,0,1.202576476,0.037697752
II-VI,CdO,M_i_A,Be,0,1.231472833,0.045209034
II-VI,CdO,M_i_A,Mg,0,1.25808558,0.06720385
II-VI,CdO,M_i_A,Ca,0,1.256596889,0.058599079
II-VI,CdO,M_i_A,Sr,0,1.266673999,0.051508259
II-VI,CdO,M_i_A,Ba,0,1.27201588,0.048171695
II-VI,CdO,M_i_A,B,0,1.191932541,0.050680911
II-VI,CdO,M_i_A,Al,0,1.286739734,0.027772161
II-VI,CdO,M_i_A,Ga,0,1.366998034,0.033032569
II-VI,CdO,M_i_A,In,0,1.352735331,0.034462234
II-VI,CdO,M_i_A,Tl,0,1.250896488,0.062771112
II-VI,CdO,M_i_A,C,0,1.084617768,0.043463837
II-VI,CdO,M_i_A,Si,0,1.266394303,0.02171213
II-VI,CdO,M_i_A,Ge,0,1.281673595,0.031742611
II-VI,CdO,M_i_A,Sn,0,1.306844632,0.045760669
II-VI,CdO,M_i_A,Pb,0,1.269317627,0.029134715
II-VI,CdO,M_i_A,N,0,0.317840062,0.108969238
II-VI,CdO,M_i_A,P,0,1.1687009,0.018863628
II-VI,CdO,M_i_A,As,0,1.239863596,0.023801575
II-VI,CdO,M_i_A,Sb,0,1.276646801,0.032694737
II-VI,CdO,M_i_A,Bi,0,1.284718919,0.042567384
II-VI,CdO,M_i_A,O,0,0.053693107,0.034802094
II-VI,CdO,M_i_A,S,0,0.998784303,0.035881763
II-VI,CdO,M_i_A,Se,0,1.080843491,0.014914918
II-VI,CdO,M_i_A,Te,0,1.204945697,0.021292625
II-VI,CdO,M_i_A,F,0,0.113286087,0.063270187
II-VI,CdO,M_i_A,Cl,0,0.677483481,0.11821982
II-VI,CdO,M_i_A,Br,0,0.786930242,0.09667901
II-VI,CdO,M_i_A,I,0,0.988375328,0.019088855
II-VI,CdO,M_i_A,Sc,0,1.370831488,0.046265085
II-VI,CdO,M_i_A,Ti,0,1.373370797,0.033646287
II-VI,CdO,M_i_A,V,0,1.29932156,0.029543615
II-VI,CdO,M_i_A,Cr,0,1.251002389,0.03383639
II-VI,CdO,M_i_A,Mn,0,1.218019723,0.04325212
II-VI,CdO,M_i_A,Fe,0,1.124647721,0.05700655
II-VI,CdO,M_i_A,Co,0,1.093693402,0.071541029
II-VI,CdO,M_i_A,Ni,0,1.08765502,0.073853156
II-VI,CdO,M_i_A,Cu,0,1.186103757,0.037642302
