(+1/0),Type,AB,Site,M,Ion_pot_1.3-Ion_pot_1.1,Ion_pot_1.3-Ion_Energy.1,Electronegativity.3-Ion_pot_1.1,Electronegativity.3-Ion_Energy.1,Electronegativity.3-Elec_cond,Elec_Aff.2+Therm_cond.1,Group.2+At_rad_2.1,At_wt.3-Therm_cond.1,abs(Valence.3-Valence.2),abs(Elec_Aff.3-Elec_Aff.2),abs(Electronegativity.3-Electronegativity.2),At_wt.3-Density.2,abs(Ion_rad.3-Ion_rad.2),At_vol.1+Electronegativity,abs(Ox_state.3-Ox_state.2),MP/Electronegativity.3,Period.3-CM1,Ox_state.3/CM1,Electronegativity.3*Electronegativity,CM1/Cov_rad.2,abs(Cov_rad.3-At_rad_1.2),Heat_vap/Electronegativity.3,At_wt.3-CM5,PBE_latt_const+PBE_delta_H,Electronegativity.3*ICSD_vol.1,Electronegativity.3*Heat_vap.1,Thermal_expn.1/CM8,Electronegativity.3-Therm_cond,At_rad_1.1-Cov_rad.1,Ox_state.1*Heat_fusion,abs(Ion_pot_2.1-BP),At_vol.2+Valence.1,abs(At_rad_1-Eps_ion),Ion_pot_1.1/Period.1,At_wt.3+Ion_pot_1,At_vol.2+Ox_state.1,Therm_cond/Valence.1,abs(Density.2-Ion_pot_1.1),MP.1/Thermal_expn.1,Thermal_expn.3+Valence.1,abs(At_rad_2.1-Period)
0.49376097,II-VI,CdTe,M_A,Re,0.125411342,0.125141514,-0.973285435,-0.973571221,-0.297193504,-0.827892627,0.324529187,-0.494146513,1.336042027,1.338204874,0.560719916,2.766735752,1.791083758,0.568635194,0.881618964,-0.345697614,3.342515048,-0.287509693,-0.296779577,0.004616701,0.540096183,-0.139183376,-0.127296854,0.999667243,1.023452876,-0.20998344,-2.089581706,-0.633076501,-0.3566514,-0.418747652,-0.348197522,0.406163305,-1.272975274,-0.204329482,0.871947463,-0.334392392,-1.987278199,2.336043561,0.34640461,0.178199532,-0.848028299
-0.03395215,IV-IV,SiSn,M_i_neut,Ru,-0.899526778,-0.899712024,-1.339704853,-1.339885128,-1.020770534,1.376701908,1.128300797,1.097300752,0.024188164,-0.65168801,-0.60837304,1.087388988,-0.558479775,0.73349295,-0.746699476,0.319084169,-0.50966137,0.583531985,0.299576089,0.073511833,-0.371289883,0.164887064,-0.120791842,0.766096352,0.202740422,0.42098345,-0.224320774,0.146072394,0.416529669,0.609015155,0.084800813,-1.094155417,-0.296536278,-0.076987335,0.389637624,-0.370489219,0.009141858,1.395836348,0.092511558,-0.662220178,1.420553736
0.62959942,IV-IV,Ge,M_i_A,Sn,-0.720769891,-0.721094676,-0.957380932,-0.957701587,-0.78735842,1.296217294,1.482634212,0.769528808,-0.742786022,-0.611817015,-0.745995653,-0.268149924,-0.637655239,0.705095829,-0.537634526,0.472738796,-0.400815195,-0.312026249,0.320025229,-0.021032323,-0.631759793,0.102624179,-0.416006963,0.602779037,-0.133404999,0.290015131,0.409083883,-0.657406121,1.098593045,0.180489534,0.340796885,-0.569110668,0.760141265,-0.01632066,0.452487833,0.154555531,0.104334913,0.042074892,-0.667639857,-0.621150508,-0.552581462
1.5396819,II-VI,CdTe,M_i_A,Sr,0.013309215,0.013036719,0.267789388,0.267517812,1.092055916,-2.122115182,-0.343106679,-0.267743748,-0.34076114,0.101186224,-0.286834449,-0.78921128,-0.5026148,0.568635194,-0.486986371,0.676945602,-0.402134408,-0.296920633,0.66703251,-0.404428157,-0.413599729,0.128708565,-0.035758463,0.999667243,-1.614557704,0.482743485,0.360873867,0.770117682,-0.3566514,-0.418747652,-0.348197522,2.037083558,-1.272975274,-0.204329482,0.637781171,1.29652786,-1.987278199,-0.909433143,0.34640461,0.806911301,-0.848028299
0.13463992,II-VI,CdTe,M_i_B,O,-1.854898121,-1.855215079,-1.895797355,-1.896093703,-1.329846109,0.075929828,1.526273746,0.429653889,-0.34076114,-0.538961835,0.102677127,0.110434779,-0.379452967,0.568635194,-0.486986371,-1.105845623,1.115690383,-0.293266019,-1.013197412,0.339645417,0.133664001,-0.338311989,0.707610742,0.999667243,2.984330784,-0.724899086,0.842213354,-1.676094484,-0.3566514,-0.418747652,-0.348197522,0.744160863,-1.272975274,-0.204329482,-0.083530773,0.003605165,-1.987278199,-0.67605821,0.34640461,2.801159682,-0.848028299
0.12057642,IV-IV,GeSn,M_B,Cl,-3.019137549,-3.019373241,-2.745177285,-2.745373653,-2.594069574,3.074835679,2.330045356,2.522088014,0.099508933,0.674623016,0.359831074,1.461325745,0.026733398,1.324752224,-0.707984458,3.835314017,1.516261896,-0.299895337,2.091636195,0.2169409,0.507817063,1.23134086,1.511002003,0.955144539,1.405766838,1.613770199,0.739216701,-2.482252361,0.416529669,0.180489534,0.593138701,-0.529732312,-1.110182054,-0.076987335,-1.198814075,0.193933887,0.104334913,-0.527458777,0.092511558,-0.417578604,0.22279289
1.42395054,II-VI,CdTe,M_i_neut,In,-0.008148171,-0.008421178,-0.453406193,-0.453686026,0.284755241,-0.721225933,1.125692226,-0.532600727,-0.541773581,-0.612867036,-0.762779319,-0.206457374,-0.716830703,0.568635194,-0.746699476,0.08268186,-0.422381253,0.361450676,0.106955869,-0.039722874,-0.566611906,-0.026964953,-0.279267034,0.999667243,-0.081594875,0.080195961,-0.237153981,-0.045286373,-0.3566514,-0.418747652,-0.348197522,0.855732872,-1.272975274,-0.204329482,0.911720302,0.115177174,-1.987278199,-0.539656554,0.34640461,0.832184943,-0.848028299
1.28046208,II-VI,CdSe,M_i_neut,P,-0.885285388,-0.885521981,-0.577006132,-0.577229706,-0.11403184,-0.424924563,0.945916948,0.276624608,-0.578849158,-0.767638987,-0.614107316,-0.043919034,-0.162602453,-0.360849399,-0.277921422,-0.210870108,0.584647591,-0.309847764,-0.169708495,0.176160371,-0.587666132,-0.10386392,0.542169722,0.602768265,0.390227106,-0.172624996,1.113032176,-0.448076328,-0.952719512,-0.418747652,0.153772758,0.941052644,-0.904690763,-0.146824247,0.067280372,0.200496946,-1.987278199,-0.368797851,0.020945576,1.082025434,-0.072653947
1.30166132,II-VI,CdTe,M_i_B,Be,-0.841920876,-0.842213726,-0.270935022,-0.271212766,0.489012038,-2.634115314,-0.343106679,0.497691168,-0.34076114,0.362160004,-0.642359533,0.310753686,-0.40892612,0.568635194,-0.486986371,0.233037747,1.102539672,-0.292858577,0.248662007,0.243485882,-0.596531069,0.012422323,0.773217573,0.999667243,-0.46945294,0.182045334,1.017245895,0.161020677,-0.3566514,-0.418747652,-0.348197522,0.15348552,-1.272975274,-0.204329482,-0.153901103,-0.587070178,-1.987278199,-0.764492816,0.34640461,0.777425384,-0.848028299
1.20164428,II-VI,CdTe,M_i_neut,Fe,-0.499545885,-0.499830587,-0.49685171,-0.49713204,0.23612267,-0.756781497,0.45805636,0.04164231,-0.377836717,-0.594743857,-0.791450697,0.848720436,-0.496898858,0.568635194,-0.746699476,0.04688284,0.064669781,0.509563238,0.073216313,0.125618524,-0.341463129,-0.036342876,0.317357139,0.999667243,0.010752284,0.05594611,0.433804092,-0.094407099,-0.3566514,-0.418747652,-0.348197522,0.291309766,-1.272975274,-0.204329482,0.317786025,-0.449245931,-1.987278199,-0.421183591,0.34640461,0.778741719,-0.848028299
