(-1/-2),Type,AB,Site,M,At_vol.1+Mend_num,Valence.1+Ion_pot_2.1,At_rad_2.1-Elec_cond,Ion_pot_1.1+Ion_Energy,Ion_Energy.1+Ion_Energy,Ox_state.1+Ion_pot_2.1,At_rad_2.1+ICSD_vol,Ox_state.1+Ion_pot_1.1,Ox_state.1+Ion_Energy.1,abs(Electronegativity.1-Ion_rad.1),PBE_gap,Ion_pot_1.1-ICSD_vol,Ion_Energy.1-ICSD_vol,Therm_cond.1^-1,At_rad_2.3-Mend_num,Electronegativity.2+At_rad_2.1,Thermal_expn.1-Ion_pot_2.1,Ion_pot_2.3+At_rad_2.1,ICSD_vol+BP,Period.3-Mend_num,At_rad_1.3-Electronegativity,At_rad_2.3-Electronegativity,At_wt.3-Electronegativity.2,Ion_pot_1.3+ICSD_vol,MP/At_rad_2.3,Heat_fusion.3+Ion_pot_1.3,Cov_rad/Electronegativity.1,Group*Eps_elec,Ion_rad/Density.1,BP/Eps_elec,PBE_latt_const^3,Ion_rad/At_wt.1,abs(Elec_Aff.2-Group.1),Thermal_expn.1/PBE_latt_const,abs(Elec_Aff.2-ICSD_vol.1),abs(Electronegativity.3-Ion_rad.3),abs(Ion_rad.3-Electronegativity.2),At_rad_1.1*At_wt,abs(Cov_rad.3-Ion_pot_1),Ion_rad/Heat_fusion.1,CM5-Therm_cond,abs(Group.2-ICSD_vol.1),Ox_state.3*Elec_Aff.2,Mend_num.3-Ox_state.2,Mend_num.3-Electronegativity.2,Group.3^3,abs(Valence.3-CM5),abs(Group.2-Mend_num.1)
1.60490929,II-VI,CdTe,M_A,Br,0.214062382,0.707067028,-0.170100483,0.243367012,0.243095736,-0.218059837,0.797219549,-0.32860109,-0.329009325,1.146253059,-0.527598077,0.771783007,0.772037955,-0.618316648,0.327556645,1.780261325,-0.069007373,1.010171287,-0.92238924,0.238674182,0.499846401,0.640545168,2.135995912,0.753795766,0.912200488,0.327481157,-0.018510329,0.378429297,0.234447493,0.039319344,1.2940629,0.307883099,0.047609251,-0.852330018,-0.039572306,0.158702865,-0.268072219,1.483969732,1.750567492,0.153623509,0.167340383,-1.280814073,-0.082421686,-2.811842675,-0.593419393,6.150204673,1.987837956,-1.367828138
2.29118238,II-VI,CdSe,M_i_B,Cd,-0.792498946,1.118990415,0.253580051,0.498449879,0.498273158,0.177169307,0.368359744,-0.034470582,-0.034751324,-0.227121883,-0.620439243,0.538686808,0.538890077,-0.609864736,-0.561283321,-0.064228201,0.443335376,-0.059629803,-0.92238924,-0.941716943,-0.475190558,-0.311678103,-0.159792867,0.71362462,0.159053109,-0.014582301,0.113847909,0.651186693,0.11903742,0.04566059,0.46870217,0.092818126,1.147849336,-0.761781084,0.672341944,-1.133613647,-1.167795609,0.595187873,-0.16660183,0.059606844,0.172875808,-1.129705755,0.396566521,-0.980328199,-0.918289773,0.047836996,-0.376434757,-0.523051515
0.70441912,IV-IV,Si,M_A,Li,0.571532674,-1.498942869,-1.016445124,-0.484156525,-0.484598764,-0.562168609,0.661959275,-0.668256509,-0.668821911,-1.529124649,-0.784929568,0.865206064,0.865533168,-0.034754757,0.350550506,-0.354084536,-0.570564758,4.420956194,0.352404842,1.667729167,0.115832427,-0.216404357,-0.440888579,-0.719992128,0.258374641,-2.318709687,0.347113011,-0.638223186,0.195625898,-0.002955152,0.149876489,0.169128195,0.215498561,0.513173101,-0.906060792,1.244716487,1.125597742,-0.140236798,-0.748316824,-0.050534004,0.861230421,-0.170674528,0.205763554,0.839772439,1.802813821,-3.972553187,1.088680474,-1.336352159
3.87866292,II-VI,ZnS,M_A,Sn,-1.334250054,1.459344103,0.649298699,0.913280353,0.913233322,2.282047275,-0.670489818,1.961435005,1.961615364,1.143170049,0.921531414,-0.401928952,-0.401773023,-0.566487935,-0.938555568,-0.057527163,0.838529141,-0.294160831,-1.888954333,-1.020982908,-1.025170947,-0.663358988,0.072622684,-1.304471955,0.027469977,-0.85927036,0.35757447,1.315221978,-0.305812677,0.065701696,0.156834607,-0.288859799,-0.228421516,0.294240559,-1.06210978,0.992250432,0.070002763,0.02339403,0.325899087,-0.194375104,0.440627819,-0.622203937,0.87095977,-1.028683281,-2.365859735,3.364233059,0.647645845,-1.320424913
1.65603671,III-V,BAs,M_B,Au,-1.013798449,-0.211367615,-0.783442708,0.16102412,0.162600931,-1.102183089,-1.03471291,-0.889118874,-0.887488315,-1.426406769,0.126326651,-1.096420988,-1.097814905,0.212052684,-0.009218736,1.116969759,-0.031144233,0.660116085,-0.178628419,-0.712347839,1.351588628,1.307845651,0.11549755,-0.768313443,-0.13868101,0.346600924,0.104526972,-0.620267652,-0.093279749,0.094781738,-0.005711066,-0.052954636,0.478920119,0.925853333,0.637422934,0.282278703,-0.077628869,-0.565717865,-0.479560977,0.148247146,-4.121947774,-0.629502036,0.932569443,-0.247944661,1.16471929,-0.007790103,4.267830964,-0.959549624
0.13148864,III-V,InSb,M_i_A,O,1.178111624,-0.545836683,-1.021164413,-1.530668525,-1.531145317,-1.423096946,1.579407624,-1.351889485,-1.352473412,0.295490926,-0.680987829,1.426203697,1.426430303,2.526547839,1.594278951,2.55426703,-0.588758338,1.66297228,1.132356744,1.49517523,1.251356213,1.273498634,2.522366228,2.437556735,0.802736819,0.869731513,-0.019599371,-0.559289388,0.424391084,0.229298106,1.321752372,0.474044125,-0.449664611,-0.765165714,-0.79302465,0.019311234,0.496778591,1.510658211,-0.341912497,0.15838437,0.102506736,-0.900349537,-0.422224645,-1.371247732,1.983092956,0.668166036,-0.513370783,-0.114773001
2.15970929,IV-IV,SiC,M_i_neut,Fe,-1.297440457,-0.220548972,0.106308291,0.583209065,0.583089194,0.66441512,-0.47451921,0.562499549,0.562383112,1.676017201,0.179003921,-0.110158787,-0.109980966,-0.600911336,1.073609039,-0.602741375,1.715289409,-0.741697801,0.352404842,1.199021689,0.851323239,0.558215583,0.505300477,0.247824249,-0.160828068,0.019368195,-0.01444221,1.158910391,0.201758655,0.542193795,-0.955485201,0.247362199,-0.191695625,1.307588844,0.770297613,-0.378601404,-0.429123007,1.240012951,-0.008899776,-0.525103107,0.846999474,1.310981453,-0.001571318,-0.093903232,-0.020482499,-0.043741666,0.481703475,0.633985539
0.76218564,II-VI,ZnTe,M_B,Ge,-0.091581749,0.707067028,-0.049774182,0.449462112,0.449216136,-0.218059837,0.037128861,-0.32860109,-0.329009325,1.146253059,-0.036145388,0.02191084,0.02218542,-0.618316648,-0.171610134,0.734767698,-0.069007373,0.575756691,-1.888954333,0.09724951,0.303543278,0.158277433,1.393127139,0.03538775,0.863444602,1.191982015,-0.407021721,0.388654711,0.486023781,0.041899844,0.442938582,0.718901807,-0.217047377,-0.416247098,-0.035329885,1.14746807,0.528074884,0.052693012,1.877705569,0.101437638,0.093186099,-0.918150978,0.180162482,0.996041198,1.319584316,-0.047932098,0.16839848,-0.664049557
0.4851657,II-VI,CdTe,M_i_neut,O,0.214062382,0.707067028,-0.170100483,0.243367012,0.243095736,-0.218059837,0.797219549,-0.32860109,-0.329009325,1.146253059,-0.527598077,0.771783007,0.772037955,-0.618316648,0.565825537,2.308510737,-0.069007373,1.436324472,-0.92238924,0.44640583,0.871421628,0.895805047,2.522366228,1.870635484,1.114094639,0.869731513,-0.018510329,0.378429297,0.234447493,0.039319344,1.2940629,0.307883099,-0.457041716,-0.852330018,-0.263027975,0.019311234,0.496778591,1.483969732,2.087285175,0.153623509,0.265542978,-1.389152142,-0.422224645,-1.371247732,1.983092956,0.668166036,-0.505319594,-1.133235278
2.31148904,II-VI,CdSe,M_i_A,Cd,-0.792498946,1.118990415,0.253580051,0.498449879,0.498273158,0.177169307,0.368359744,-0.034470582,-0.034751324,-0.227121883,-0.620439243,0.538686808,0.538890077,-0.609864736,-0.561283321,-0.064228201,0.443335376,-0.059629803,-0.92238924,-0.941716943,-0.475190558,-0.311678103,-0.159792867,0.71362462,0.159053109,-0.014582301,0.113847909,0.651186693,0.11903742,0.04566059,0.46870217,0.092818126,1.147849336,-0.761781084,0.672341944,-1.133613647,-1.167795609,0.595187873,-0.16660183,0.059606844,0.189416823,-1.129705755,0.396566521,-0.980328199,-0.918289773,0.047836996,-0.399440596,-0.523051515
